Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Vostok (0-440 kyr BP),Unnamed: 6,Unnamed: 7,Unnamed: 8,Taylor Dome (19-63 kyr BP),Unnamed: 10,Unnamed: 11,Unnamed: 12,Dome C (393-664 kyr BP),Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Dome C (611-800 kyr BP),Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Talos Dome (35-68 kyr BP),Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,EDML (49-115 kyr BP),Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Byrd (19-88 kyr BP),Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,EDC (9-22 kyr BP),Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,EDC (125- 153 kyr BP),Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,EDC (12-24 kyr BP),Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,EDC (105-155 kyr BP),Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Law Dome (0-2 kyr BP),Unnamed: 69,WAIS (0-1 kyr BP),Unnamed: 71,Unnamed: 72,Unnamed: 73,EDML (0-6 kyr BP),Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Law Dome and South Pole (0-2 kyr BP),Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Siple Dome (20-40 kyr BP),Unnamed: 89,Unnamed: 90,Unnamed: 91,Siple Dome (7.3 - 9 kyr BP),Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,WAIS (9-23 kyr BP),Unnamed: 98,Unnamed: 99,Unnamed: 100,"EDC (560-806 kyr, corrected for analytical bias)",Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107
,,,,Petit et al. (1999),,,,Indermühle et al. (2000),,,,Siegenthaler et al. (2005),,,,,,,,,Lüthi et al. (2008),,,,,,,,,Bereiter et al. (2012),,,,,,"Bereiter et al. (2012) [1], Lüthi et al. (2010) [2]",,,,,,Ahn et al. (2008),,,,,"Lourantou et al. (2010, a) (Global Biogeochemical Cycles)",,,,,"Lourantou et al. (2010, b) (Quaternary Science Reviews)",,,,,Schmitt et al. (2011),,,,,Schneider et al. (2013),,,,,MacFarling Meure et al. (2006),,Ahn et al. (2012),,,,"Monnin et al. (2004) [1], Siegenthaler et al. (2005) [2]",,,,,,Rubino et al. (2013),,,,,,,,"Ahn et al. (2014, a) (Nature Communications)",,,,"Ahn et al. (2014, b) (Geophysical Research Letters)",,,,,Marcott et al. (2014),,,,Bereiter et al. (2014),,,,,,
,,,,Pepin et al. (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Raynaud et al. (2005),,,,,,,,,,,,,,,,,"Data points between 3112.98 - 3114.68 m were not in original data set, but shown in the published figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Column CI + CJ: Where dublicates are found, the average is taken.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LGGE Grenoble,,,,University of Bern,,,,University of Bern,,,,,LGGE Grenoble,,,,University of Bern,,,,,LGGE Grenoble,,,,University of Bern,,,,,,University of Bern,,,,,,Oregon State University,,,,,LGGE Grenoble,,,,,LGGE Grenoble,,,,,University of Bern,,,,,University of Bern,,,,,CSIRO Australia,,Oregon State University,,,,University of Bern,,,,,,CSIRO Australia,,,,,,,,Oregon State University,,,,Oregon State University,,,,,Oregon State University,,,,University of Bern,,,,,,
"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),tentatively synchronized on EDC3 gasage (yr),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),"Gasage (TALDICE-1a, yr BP)","Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Reference,Depth (m),"Age (Ahn et al., 2008)",tentatively synchronized on AICC2012 based on synchronization applied in Bereiter et al. (2012),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),"Gasage (MacFarling Meure et al., 2006, yr BP)",CO2 (ppmv),Depth (m),"Gasage (WDC06A-7, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Reference,Site code,Sample type,Depth (m),"Gasage (Rubino et al., 2013, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (tuned to GICC05/AICC2012 by Ahn et al. (2014), yr BP)",CO2 (ppm),sigma mean CO2 (ppmv),depth (m),"Gasage (tuned to GICC05/AICC2012 by Ahn et al. (2014), yr BP)",age uncertianty (yr),CO2 (ppm),uncertainty (ppm),Depth (m),"Gasage (WDC06A-7, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (AICC2012, yr BP)",corrected CO2 (ppmv),analytical sigma mean CO2 (ppmv),Correcting Factor (ppmv),lower bound (2 sigma) of correction F. (ppmv),upper bound (2 sigma) of correction F. (ppmv)
137,350.11010303030304,280.4,1.8,149.1,2690,,284.7,380.82,18906,190.5,1,2761.85,415717,415945.6060606061,276.4,1.6,2700.77,392544,392977.15151515143,259.5,3026.58,611269,611555.7636363637,257.8,2.1,3061.71,667435,667256.7999999999,178.5,1009.643,34166.736300000004,34164.759284885375,34359.949100000005,152.65031329166055,4.469447388620978,1435.6245,43602.42499999999,43205.41283333333,193.77643018978202,1.5191030318021568,2,1315.91,19286,,194.36,0.97,346.5,8756.45,9274.2,256.9,0.63,1669.25,125222.7,124858.66666666667,277.64,0.12,445,12789,12890.30606060606,237.63,0.73,1454.857,104735,104331.2290909091,238.88,1.55,-46.5,359.5,78.97333333333333,10.099999999999909,311.57765024925,1.583859814765017,93.95750000000001,200.85600000000014,122.68114000000011,290.6255743362656,1.423428844897131,2,SOUTH POLE,firn,0,-51.02999999999997,367.999993001987,0.0534419794353037,368.02248790241714,0.06044223118819268,726.008,21925.899999999998,184.4620277494,0.49999999999272404,490.19,7294,0.7000000000007276,264.82601862913333,1.0421825389298325,1698.165,8893.213,267.9028278900337,3.3695646047852725,2950.5275,562654.6712121214,234.0650889391748,0.9385147721913402,0,0,0.45076
268,486.69320000000005,274.9,0.7,173.1,3897,3661.9285,272.7,382.42,23379,189.1,0.5,2762.89,416193,416425.3151515151,271.7,1.2,2702.97,393579,394003.6909090909,273.6,3030.97,616164,616298.5636363633,252.6,0.6,3063.98,670124,670241.012121212,189,1017.907,35017.604100000004,34741.71632125571,35093.65370000001,176.35650084749824,12.659839601784155,1444.5653333333335,44172.98560000001,43761.68897777779,199.2638780677422,1.5577254915739922,2,1332.34,19887,,191.14,0.19,346.5,8756.45,9274.2,261.57,1.27,1674.75,125633.4,125326,275.61,0.83,455.302,13371,13665.230424242425,238.59,2.7,1460.295,105368,104966.44545454546,242.36,NAN,-44.5,356.9,80.095,14.599999999999909,307.0674781955417,0.23866354610503743,94.95750000000001,210.87925000000013,134.11314000000013,290.38523380722086,1.036684311343852,2,SOUTH POLE,firn,0,-51.02999999999997,368.0449828028473,0.06744248294108167,,,727.78,22292.199999999997,187.2242115241,0.44999999999935325,490.9205,7319.25,0.4499999999998181,263.7436386819,0.17499999999998295,1708.1825000000001,8985.488,265.4473246879209,1.4293916976380214,2951.8224999999998,563135.7833333333,240.11472412125158,2.1262518987040395,0,0,0.49078
279,501.19500000000016,277.9,0.7,177.4,4124,3746.627,268.1,382.76,24011,189,1.4,2765.08,417191,417440.4424242424,273.4,1.5,2705.17,394560,394906.1030303031,260.7,3036.44,623109,622946.8,243.3,2.8,3085.78,688035,690566.6242424244,234,1025.908,35521.63399999999,35326.0170541139,35663.78479999999,203.35813920490517,10.372718972317882,1447.637,44363.195199999995,44024.70106666666,188.6198931670105,3.1520667055497915,2,1334.2,19978,,192.54,0.09,355.3,9072.05,9516.193333333333,258.3,0.92,1674.75,125633.4,125326,278.5,2.25,461.5,13705,14033.384848484848,239.64,0.62,1465.847,106005,105507.14848484848,248.78,9.96,-42.40000000000009,353.6,80.595,16.799999999999955,306.5317656496,1.2708723028493043,95.96333333333332,230.27766666666648,145.61182666666656,288.3972053894925,1.8806031762275033,2,SGA,firn,0,-48,361.78073658846415,0.37,361.78073658846415,0.37,728.048,22347.600000000002,187.0216472475,1.25,491.61,7342.799999999999,0.5000000000009095,261.90241948945,0.8267674669695664,1718.2305000000001,9080.986,268.86121401097495,1.418331533880203,2952.9225,563536.65,242.28811438741747,0.5138474018539357,0,0,0.52478
395,539.6494545454545,279.1,1.3,228.6,6735,6449.1759999999995,262.2,383.54,25337,187.7,1,2766.18,417698,417956.7818181817,271.8,1.7,2713.97,398086,398275.1272727272,276.3,3040.87,630183,629768.9272727274,204.4,0.9,3086.88,688751,691327.2909090909,235.4,1033.922,36159.932400000005,36028.26102606629,36258.585,184.03742634343567,16.932721308552843,1455.6053333333334,44878.09333333334,44580.9120888889,199.97729629857014,1.6772901638474351,2,1346.28,20404,,204.27,0.48,376.75,9792.53,10178.3,265.55,0.01,1677.5,125858.8,125561.33333333333,271.68,1.26,466.452,13974,14250.630181818182,240.84,1.93,1471.41,106565,105989.87272727274,257.58,4.2,-39.799999999999955,349.7,82.58799999999998,25,303.90778620500004,0.3484924088447732,96.95750000000001,244.69225000000017,159.94379416666683,287.79603246127266,1.9384901242924508,2,DSSW20K,firn,15.8,-46.27927212999998,359.61974719554144,0.08983768668748764,359.6477931830841,0.09800013305630571,729.1199999999999,22550.100000000002,184.67921815,0.19999999999998863,492.4725,7372.2,0.4000000000005457,263.169199403,0.32489421356278625,1728.2005000000001,9176.945,263.9524321899689,1.8537412481466093,2954.0225,563928.7666666667,245.6943230643778,1.769918664932175,0,0,0.55879
