year,ch4
-797446,399.3
-796467,457.8
-795327,396.1
-794369,418.0
-792988,428.3
-792449,419.6666667
-791645,451.2
-790877,469.6666667
-790044,466.2
-789426,503.0
-788740,483.0
-788087,540.3333333
-787312,543.2
-786864,561.6666667
-786172,588.9
-785723,659.3333333
-784988,713.4
-784698,699.0
-784589,738.67
-784539,723.0
-784009,676.9
-783436,686.3333333
-782689,639.4
-782157,653.3333333
-781478,618.0
-780900,639.3333333
-780007,623.3
-779682,633.3333333
-778794,629.9
-778144,616.0
-777333,598.3
-776810,614.0
-776081,681.0
-775460,657.6666667
-774605,601.2
-774043,617.6666667
-773295,577.4
-772575,583.3333333
-771681,548.5
-771049,565.6666667
-770248,529.5
-770063,538.6666667
-769878,543.0
-769590,556.0
-769255,639.3333333
-768980,646.6666667
-768651,632.1
-768344,629.7
-768129,621.6666667
-767776,616.3
-767629,587.0
-767349,569.8
-766740,568.0
-765671,486.4
-765121,519.0
-764296,466.7
-763935,462.0
-763555,469.6666667
-763272,500.0
-763133,535.0
-762798,517.8
-762634,563.3333333
-762193,549.3333333
-761867,556.0
-761513,538.4
-760876,521.0
-760088,474.3
-759624,473.2
-758685,453.7
-758065,462.3333333
-757250,433.6
-756866,421.0
-756431,485.6666667
-756193,497.6666667
-756050,498.1
-755557,505.3333333
-755265,479.6666667
-755045,473.3
-754835,439.4
-754370,419.0
-753665,444.5
-753189,429.0
-752398,406.4
-752070,409.6666667
-750617,431.3333333
-749805,400.9
-749303,428.3333333
-748653,407.6
-748094,399.6666667
-747369,377.5
-746919,408.6666667
-746283,392.2
-745766,404.6666667
-745099,402.4
-744652,428.0
-744054,415.1
-743522,432.3333333
-742824,421.3
-742362,421.6666667
-741756,439.1
-741257,422.3333333
-740552,401.5
-740121,409.3333333
-739472,387.7
-738917,414.0
-738261,410.6
-737859,403.0
-737323,408.3
-736868,407.3333333
-736179,423.0
-735872,507.6666667
-735335,541.9
-734972,561.0
-734462,545.9
-734106,541.0
-733574,517.6
-733151,531.3333333
-732638,519.9
-732244,519.3333333
-731697,529.5
-731209,525.3333333
-730511,520.5
-730196,537.3333333
-729491,511.7
-729076,538.0
-728293,544.6
-727804,551.0
-726923,530.3333333
-726502,559.0
-725757,530.8
-725230,540.6666667
-724544,504.3
-723918,561.0
-722970,478.45
-722423,581.0
-721737,559.6
-721021,566.3333333
-719971,514.7
-719307,491.3333333
-718582,401.1
-717691,407.6666667
-716685,391.7
-716013,402.6666667
-715244,398.8
-714513,434.6666667
-713700,531.3
-713164,570.0
-712239,577.0
-711787,593.0
-711060,596.8
-710414,587.6666667
-709618,573.2
-709001,591.0
-708191,556.3
-707808,567.7
-707680,611.3333333
-706903,520.5
-706419,512.3
-705648,504.5
-705202,519.3
-704452,610.3333333
-704026,610.3333333
-703387,584.6
-702911,602.3333333
-702258,588.0
-701925,593.3333333
-701377,582.0
-700968,605.3333333
-700513,593.9
-700101,584.3333333
-699581,570.8
-699253,594.6666667
-698715,578.4
-698395,581.0
-697921,565.774
-697606,594.0
-697181,604.3333333
-696323,588.0
-696096,604.6666667
-695657,603.7
-694967,623.8
-694692,644.6666667
-694279,642.9
-694030,647.2
-693621,631.7
-693349,652.0
-692955,635.3
-692699,638.6666667
-692313,629.0
-692055,615.0
-691416,590.1
-691006,601.5
-690749,595.5
-690352,557.4
-690085,570.3333333
-689672,567.6
-689416,584.3333333
-688756,561.0
-688329,548.9
-688033,555.3333333
-687608,540.0
-687345,556.6666667
-686898,541.5
-686634,537.6666667
-686203,527.3
-685935,529.3
-685473,537.6
-684737,522.5
-684441,521.0
-683975,513.7
-683749,507.6666667
-682911,519.6
-682435,504.3
-682104,498.6666667
-681617,498.1
