year,co2,ch4,temp
2023,1922.39,1922.39,-54.31
2022,1911.82,1911.82,-54.15
2021,1895.26,1895.26,-54.43
2020,1878.93,1878.93,-54.06
2019,1866.58,1866.58,-54.24
2018,1857.33,1857.33,-54.19
2017,1849.58,1849.58,-54.22
2016,1843.12,1843.12,-54.44
2015,1834.26,,-54.69
2014,1822.57,,-54.39
2013,1813.41,1813.41,-54.1
2012,1808.12,1808.12,-54.47
2011,1803.15,1803.15,-54.12
2010,1798.93,,-54.39
2009,1793.53,,-54.05
2008,1787.01,,-54.32
2007,1781.38,,-53.94
2006,1774.96,1774.96,-54.16
2005,1774.16,,-54.19
2004,1777.05,,-54.41
2003,1777.33,,-54.34
2002,1772.66,1772.66,-54.07
2001,1771.22,1771.22,-54.36
2000,1773.33,,-54.46
1999,1772.34,,-54.55
1998,1765.54,1765.54,-54.45
1997,1754.53,1754.53,-54.5
1996,1751.28,1751.28,-54.13
1995,1748.88,,-54.41
1994,1742.07,1742.07,-54.59
1993,1736.5,,-54.57
1992,1735.47,,-54.17
1991,1724.82,,-53.99
1990,1714.43,,-54.32
1989,1704.53,,-54.46
1988,1693.15,,-54.09
1987,1682.7,,-54.5
1986,1670.09,1670.09,-54.41
1985,1657.29,1657.29,-54.3
1984,1644.85,1644.85,-54.26
1959,315.98,,-54.67
1960,316.91,,-55.05
1961,317.64,,-54.36
1962,318.45,,-54.99
1963,318.99,,-54.69
1964,319.62,,-54.76
1965,320.04,,-54.5
1966,321.37,,-54.48
1967,322.18,,-54.31
1968,323.05,,-54.53
1969,324.62,,-54.52
1970,325.68,,-54.39
1971,326.32,,-54.28
1972,327.46,,-54.07
1973,329.68,,-54.27
1974,330.19,,-54.38
1975,331.13,,-54.33
1976,332.03,,-54.66
1977,333.84,,-54.24
1978,335.41,,-54.49
1979,336.84,,-54.66
1980,338.76,,-53.87
1981,340.12,,-54.09
1982,341.48,,-54.59
1983,343.15,,-54.19
1958,316.1014028920352,,-54.67
1957,314.57216625352925,,-54.35
1956,315.342073915026,,-54.45
1954,314.7139613439055,,-54.87
1953,313.1710570119369,,-54.87
1952,312.1844627182946,,-54.63
1950,313.6602846482332,,-54.41
1949,309.6939936066409,,-54.43
1948,311.57094999761165,,-54.54
1947,310.36290017732523,,-54.48
1946,312.5596867804179,,-54.58
1945,310.440204448011,,-54.47
1944,312.36164019507424,,-54.6
1943,312.8437329659678,,-54.78
1942,312.393938618938,,-54.56
1941,311.80226771747726,,-54.41
1940,309.80091502114107,,-54.67
1939,310.4566675193962,,-54.27
1938,311.52050972739016,,-54.51
1937,307.4076931745866,,-54.72
1936,307.25859856593024,907.0,-54.47
1934,309.6306260790445,,-54.56
1933,305.94402817135216,,-54.68
1931,305.7409186942765,,-54.62
1930,305.3808267142061,,-54.69
1929,305.78294147245686,,-54.65
1928,308.01874186181465,,-54.55
1926,304.96915678718324,,-54.55
1925,304.7159146968185,,-54.83
1923,303.1815383191544,,-54.69
1920,301.8758603769565,,-54.72
1919,304.61320734820134,,-54.63
1918,303.85222132002366,,-54.56
1916,301.9151507114715,,-54.26
1915,300.7000886560916,,-54.39
1913,301.29772622272134,,-54.45
1912,299.25727749401767,,-54.48
1911,298.10624698316605,,-54.59
1910,297.86910679162327,,-54.49
1909,301.5041354046444,,-54.42
1906,299.62686294971274,,-54.34
1904,295.9913578166476,,-54.64
1902,295.6106368299745,,-54.34
1901,294.2207216000332,,-54.51
1899,297.0473645165553,,-54.37
1894,293.80883068272027,,-54.72
1893,294.8594308441452,,-54.52
1890,290.9175394046256,,-54.37
1888,294.34178746728605,,-54.37
1886,288.1157636999787,,-54.44
1885,289.2265988139854,,-54.52
1884,289.7624132149648,,-54.43
1883,292.46393479402104,,-54.39
1880,287.7707291897673,,-54.4
1877,289.3281310647417,,-54.48
1874,291.5581974658393,,-54.49
1873,286.6550967370638,,-54.54
1871,286.32578146070443,,-54.44
1870,287.9864944292303,,-54.42
1869,289.53614491302415,,-54.41
1868,287.9922513016967,,-54.43
1867,285.05229227816864,,-54.48
1865,286.654158160582,,-54.48
1863,285.3533187571561,,-54.47
1862,287.17456217295097,,-54.45
1859,286.6330756116753,,-54.47
1857,283.16210074754474,,-54.53
1855,285.56557722684016,,-54.41
1854,288.05443747992655,,-54.49
1852,285.4658308627274,,-54.49
1851,288.7903954001126,,-55.02
1848,286.839237474432,,
1846,283.6198856894272,,
1845,283.1828720355646,,
1844,281.58148260537183,,
1841,283.6545457229947,,-53.71
1837,284.151983964357,,
1834,283.82039231033946,,
1833,285.0861666968484,,
1827,285.90893992625405,,
1825,281.3603652847592,,
1814,284.43128758236145,,
1800,282.7995518984052,,-54.9
1797,280.4044366600032,,
1796,282.3047106620081,,
1795,281.6171179507893,,
1781,273.07371696468044,,
1780,280.2362981843688,,
1774,277.8559524780317,,
1764,276.3961020284933,,
1763,277.15568662096365,,
1753,278.00200109884094,,
1752,276.4573287163011,,
1750,277.6000738939942,,
1742,276.8090000432731,682.7,
1734,278.3109424912346,,
1724,277.01330979867544,,
1723,278.27011023020174,,
1695,277.35805088594464,,-54.52
1690,276.3246167739362,,
1682,276.6596678045921,,
1650,278.0152295252318,,
1640,276.6872122505445,,
1629,273.7807623120456,,
1610,271.1090304670288,,
1604,275.066577843599,,-54.47
1591,279.3568610690018,,
1589,281.10892823134105,,
1574,282.5698274885973,,
1560,281.82904146165555,,
1550,283.5296825674026,,
1530,283.94789036843633,,
1502,283.1247803916497,,
1470,280.3125047226672,,
1450,282.22658040584827,,
1429,279.7256958832981,,
1411,279.6965499485699,667.8,
1391,280.9115788303861,,
1349,278.3621212274177,,
1331,284.0676432722511,,-53.04
1308,281.5784089788515,,
1279,278.4312489162189,,
1260,282.199286054067,,
1252,282.41311047504325,,
1211,283.68828915610504,,
1200,284.54004420226613,,
1166,283.9659747066713,,
1147,284.510584449478,,
1116,282.8416314024614,,
1100,283.0944582572788,,
1071,282.8444160166049,,
1050,280.9667443357615,,
1041,280.9161701585891,,
1020,280.06452973881244,,
1018,279.7987034131486,,
983,278.7402401551619,,
958,277.4071684030988,,
915,280.10552589040225,,
876,279.42044060983585,,-55.25
823,278.62300321449914,,
794,279.72469920818,,
763,279.29371083930937,,
731,279.9902637416671,,
