year,co2,ch4,temp
2023,1922.39,0.0,-54.31
2023,421.08,0.0,-54.31
2022,1911.82,0.0,-54.15
2022,418.53,0.0,-54.15
2021,1895.26,0.0,-54.43
2021,416.41,0.0,-54.43
2020,1878.93,0.0,-54.06
2020,414.21,0.0,-54.06
2019,1866.58,0.0,-54.24
2019,411.65,0.0,-54.24
2018,1857.33,0.0,-54.19
2018,408.72,0.0,-54.19
2017,1849.58,0.0,-54.22
2017,406.76,0.0,-54.22
2016,1843.12,0.0,-54.44
2016,404.41,0.0,-54.44
2015,1834.26,0.0,-54.69
2015,401.01,0.0,-54.69
2014,1822.57,0.0,-54.39
2014,398.81,0.0,-54.39
2013,1813.41,0.0,-54.1
2013,396.74,0.0,-54.1
2012,1808.12,0.0,-54.47
2012,394.06,0.0,-54.47
2011,1803.15,0.0,-54.12
2011,391.85,0.0,-54.12
2010,1798.93,0.0,-54.39
2010,390.1,0.0,-54.39
2009,1793.53,0.0,-54.05
2009,387.64,0.0,-54.05
2008,1787.01,0.0,-54.32
2008,385.83,0.0,-54.32
2007,1781.38,0.0,-53.94
2007,384.02,0.0,-53.94
2006,1774.96,0.0,-54.16
2006,382.09,0.0,-54.16
2005,1774.16,0.0,-54.19
2005,379.98,0.0,-54.19
2004,1777.05,0.0,-54.41
2004,377.7,0.0,-54.41
2003,1777.33,0.0,-54.34
2003,375.98,0.0,-54.34
2002,1772.66,0.0,-54.07
2002,373.45,0.0,-54.07
2001,1771.22,0.0,-54.36
2001,371.32,0.0,-54.36
2000,1773.33,0.0,-54.46
2000,1773.33,0.0,0.0
2000,369.71,0.0,-54.46
2000,369.71,0.0,0.0
1999,1772.34,0.0,-54.55
1999,368.54,0.0,-54.55
1998,1765.54,0.0,-54.45
1998,366.84,0.0,-54.45
1997,1754.53,0.0,-54.5
1997,363.88,0.0,-54.5
1996,1751.28,0.0,-54.13
1996,362.74,0.0,-54.13
1995,1748.88,0.0,-54.41
1995,360.97,0.0,-54.41
1994,1742.07,0.0,-54.59
1994,358.96,0.0,-54.59
1993,1736.5,0.0,-54.57
1993,1736.5,0.0,0.0
1993,357.21,0.0,-54.57
1993,357.21,0.0,0.0
1992,1735.47,0.0,-54.17
1992,356.54,0.0,-54.17
1991,1724.82,0.0,-53.99
1991,355.7,0.0,-53.99
1990,1714.43,0.0,-54.32
1990,354.45,0.0,-54.32
1989,1704.53,0.0,-54.46
1989,353.2,0.0,-54.46
1988,1693.15,0.0,-54.09
1988,351.69,0.0,-54.09
1987,1682.7,0.0,-54.5
1987,1682.7,0.0,0.0
1987,349.31,0.0,-54.5
1987,349.31,0.0,0.0
1986,1670.09,0.0,-54.41
1986,347.61,0.0,-54.41
1985,1657.29,0.0,-54.3
1985,346.35,0.0,-54.3
1984,1644.85,0.0,-54.26
1984,344.87,0.0,-54.26
1959,315.98,0.0,-54.67
1959,311.98389241638387,0.0,-54.67
1960,316.91,0.0,-55.05
1960,316.91,0.0,0.0
1960,318.20658038167187,0.0,-55.05
1960,318.20658038167187,0.0,0.0
1960,313.0933880516286,0.0,-55.05
1960,313.0933880516286,0.0,0.0
1961,317.64,0.0,-54.36
1962,318.45,0.0,-54.99
1963,318.99,0.0,-54.69
1964,319.62,0.0,-54.76
1965,320.04,0.0,-54.5
1966,321.37,0.0,-54.48
1967,322.18,0.0,-54.31
1967,322.18,0.0,0.0
1968,323.05,0.0,-54.53
1969,324.62,0.0,-54.52
1970,325.68,0.0,-54.39
1971,326.32,0.0,-54.28
1972,327.46,0.0,-54.07
1973,329.68,0.0,-54.27
1974,330.19,0.0,-54.38
1974,330.19,0.0,0.0
1975,331.13,0.0,-54.33
1976,332.03,0.0,-54.66
1977,333.84,0.0,-54.24
1978,335.41,0.0,-54.49
1979,336.84,0.0,-54.66
1980,338.76,0.0,-53.87
1981,340.12,0.0,-54.09
1981,340.12,0.0,0.0
1982,341.48,0.0,-54.59
1983,343.15,0.0,-54.19
1958,316.1014028920352,0.0,-54.67
1958,316.3340200101121,0.0,-54.67
1957,314.57216625352925,0.0,-54.35
1957,315.2703546298443,0.0,-54.35
1957,316.3253801823537,0.0,-54.35
1957,314.4370577968855,0.0,-54.35
1956,315.342073915026,0.0,-54.45
1954,314.7139613439055,0.0,-54.87
1953,313.1710570119369,0.0,-54.87
1953,313.1710570119369,0.0,0.0
1953,312.8003637775662,0.0,-54.87
1953,312.8003637775662,0.0,0.0
1953,312.22274083278216,0.0,-54.87
1953,312.22274083278216,0.0,0.0
1952,312.1844627182946,0.0,-54.63
1950,313.6602846482332,0.0,-54.41
1950,312.0017776102837,0.0,-54.41
1949,309.6939936066409,0.0,-54.43
1948,311.57094999761165,0.0,-54.54
1947,310.36290017732523,0.0,-54.48
1947,312.8663621464335,0.0,-54.48
1946,312.5596867804179,0.0,-54.58
1946,311.9671347125998,0.0,-54.58
1946,311.8114965345337,0.0,-54.58
1945,310.440204448011,0.0,-54.47
1945,310.440204448011,0.0,0.0
1945,311.2775834649954,0.0,-54.47
1945,311.2775834649954,0.0,0.0
1945,310.224309572614,0.0,-54.47
1945,310.224309572614,0.0,0.0
1944,312.36164019507424,0.0,-54.6
1943,312.8437329659678,0.0,-54.78
1943,311.878053578341,0.0,-54.78
1942,312.393938618938,0.0,-54.56
1941,311.80226771747726,0.0,-54.41
1941,307.7386635857962,0.0,-54.41
1940,309.80091502114107,0.0,-54.67
1940,310.9510867188181,0.0,-54.67
1940,311.21179432912515,0.0,-54.67
1939,310.4566675193962,0.0,-54.27
1939,308.47982780846024,0.0,-54.27
1939,311.94102882822733,0.0,-54.27
1938,311.52050972739016,0.0,-54.51
1938,312.3293254879136,0.0,-54.51
1937,307.4076931745866,0.0,-54.72
1937,307.4076931745866,0.0,0.0
1936,307.25859856593024,0.0,-54.47
1936,307.25859856593024,907.0,-54.47
1936,306.3197983876916,0.0,-54.47
1936,306.3197983876916,907.0,-54.47
1936,309.3446868650601,0.0,-54.47
1936,309.3446868650601,907.0,-54.47
1934,309.6306260790445,0.0,-54.56
1934,307.0755443187391,0.0,-54.56
1933,305.94402817135216,0.0,-54.68
1933,308.27919921307927,0.0,-54.68
1933,308.25556223436706,0.0,-54.68
1931,305.7409186942765,0.0,-54.62
1930,305.3808267142061,0.0,-54.69
1929,305.78294147245686,0.0,-54.65
1929,305.7053721667773,0.0,-54.65
1929,305.66786848134046,0.0,-54.65
1928,308.01874186181465,0.0,-54.55
1928,308.01874186181465,0.0,0.0
1926,304.96915678718324,0.0,-54.55
1925,304.7159146968185,0.0,-54.83
1923,303.1815383191544,0.0,-54.69
1923,306.1986242999216,0.0,-54.69
1920,301.8758603769565,0.0,-54.72
1920,301.8758603769565,0.0,0.0
1919,304.61320734820134,0.0,-54.63
1918,303.85222132002366,0.0,-54.56
1916,301.9151507114715,0.0,-54.26
1915,300.7000886560916,0.0,-54.39
1913,301.29772622272134,0.0,-54.45
1912,299.25727749401767,0.0,-54.48
1912,299.25727749401767,0.0,-53.62
1912,297.7268153632511,0.0,-54.48
1912,297.7268153632511,0.0,-53.62
1911,298.10624698316605,0.0,-54.59
1910,297.86910679162327,0.0,-54.49
1909,301.5041354046444,0.0,-54.42
1906,299.62686294971274,0.0,-54.34
1906,297.32821856127947,0.0,-54.34
1906,299.0235966178361,0.0,-54.34
