Entity,Code,Year,Annual CO₂ emissions
Ireland,IRL,1850,395712.0
Ireland,IRL,1880,351744.0
Ireland,IRL,1881,351744.0
Ireland,IRL,1910,216176.0
Ireland,IRL,1913,223504.0
Ireland,IRL,1914,249152.0
Ireland,IRL,1915,227168.0
Ireland,IRL,1916,241824.0
Ireland,IRL,1917,256480.02
Ireland,IRL,1918,245488.0
Ireland,IRL,1919,249152.0
Ireland,IRL,1920,293120.0
Ireland,IRL,1921,238160.0
Ireland,IRL,1924,6686800.0
Ireland,IRL,1925,6034608.0
Ireland,IRL,1926,8097440.0
Ireland,IRL,1927,6730768.0
Ireland,IRL,1928,6485280.0
Ireland,IRL,1929,9999056.0
Ireland,IRL,1930,9552048.0
Ireland,IRL,1931,9841504.0
Ireland,IRL,1932,6426656.0
Ireland,IRL,1933,9266256.0
Ireland,IRL,1934,9482432.0
Ireland,IRL,1935,9533728.0
Ireland,IRL,1936,10145616.0
Ireland,IRL,1937,10354464.0
Ireland,IRL,1938,9965634.0
Ireland,IRL,1939,11529568.0
Ireland,IRL,1940,11522181.0
Ireland,IRL,1941,8447995.0
Ireland,IRL,1942,7015757.0
Ireland,IRL,1943,7110814.0
Ireland,IRL,1944,6356149.0
Ireland,IRL,1945,6832587.0
Ireland,IRL,1946,8195150.5
Ireland,IRL,1947,8810732.0
Ireland,IRL,1948,8443915.0
Ireland,IRL,1949,8344839.0
Ireland,IRL,1950,9726138.0
Ireland,IRL,1951,10506628.0
Ireland,IRL,1952,9619792.0
Ireland,IRL,1953,9535490.0
Ireland,IRL,1954,9091640.0
Ireland,IRL,1955,11714768.0
Ireland,IRL,1956,10923165.0
Ireland,IRL,1957,9718482.0
Ireland,IRL,1958,8956370.0
Ireland,IRL,1959,12312178.0
Ireland,IRL,1960,11168536.0
Ireland,IRL,1961,12352601.0
Ireland,IRL,1962,13106731.0
Ireland,IRL,1963,13447305.0
Ireland,IRL,1964,14216062.0
Ireland,IRL,1965,13717431.0
Ireland,IRL,1966,15094858.0
Ireland,IRL,1967,16394835.0
Ireland,IRL,1968,17801570.0
Ireland,IRL,1969,18494394.0
Ireland,IRL,1970,19393740.0
Ireland,IRL,1971,22476182.0
Ireland,IRL,1972,22036418.0
Ireland,IRL,1973,22846356.0
Ireland,IRL,1974,23293276.0
Ireland,IRL,1975,22047718.0
Ireland,IRL,1976,22293362.0
Ireland,IRL,1977,23568720.0
Ireland,IRL,1978,23579640.0
Ireland,IRL,1979,27402738.0
Ireland,IRL,1980,26271548.0
Ireland,IRL,1981,26061508.0
Ireland,IRL,1982,25566268.0
Ireland,IRL,1983,25728682.0
Ireland,IRL,1984,25549450.0
Ireland,IRL,1985,26749804.0
Ireland,IRL,1986,28550302.0
Ireland,IRL,1987,30226336.0
Ireland,IRL,1988,29883636.0
Ireland,IRL,1989,30061098.0
Ireland,IRL,1990,32944420.0
Ireland,IRL,1991,33674308.0
Ireland,IRL,1992,33495316.0
Ireland,IRL,1993,33716364.0
Ireland,IRL,1994,34838450.0
Ireland,IRL,1995,35852984.0
Ireland,IRL,1996,37469268.0
Ireland,IRL,1997,38804984.0
Ireland,IRL,1998,40708970.0
Ireland,IRL,1999,42440180.0
Ireland,IRL,2000,45249110.0
Ireland,IRL,2001,47607620.0
Ireland,IRL,2002,46081584.0
Ireland,IRL,2003,45684108.0
Ireland,IRL,2004,46166788.0
Ireland,IRL,2005,48156200.0
Ireland,IRL,2006,47604450.0
Ireland,IRL,2007,47664090.0
Ireland,IRL,2008,47362828.0
Ireland,IRL,2009,42179092.0
Ireland,IRL,2010,41793224.0
Ireland,IRL,2011,38056364.0
Ireland,IRL,2012,38227200.0
Ireland,IRL,2013,37281868.0
Ireland,IRL,2014,36853212.0
Ireland,IRL,2015,38718548.0
Ireland,IRL,2016,40369680.0
Ireland,IRL,2017,39078276.0
Ireland,IRL,2018,39012556.0
Ireland,IRL,2019,37325750.0
Ireland,IRL,2020,35123776.0
Ireland,IRL,2021,37547284.0
Ireland,IRL,2022,38784012.0
