year,ch4
2023,1922.39
2022,1911.82
2021,1895.26
2020,1878.93
2019,1866.58
2018,1857.33
2017,1849.58
2016,1843.12
2015,
2015,1834.26
2014,
2014,1822.57
2013,1813.41
2013,
2012,1808.12
2012,
2011,1803.15
2011,
2010,
2010,1798.93
2009,
2009,1793.53
2008,
2008,1787.01
2007,
2007,1781.38
2006,1774.96
2006,
2005,
2005,1774.16
2004,
2004,1777.05
2003,
2003,1777.33
2002,1772.66
2002,
2001,1771.22
2001,
2000,
2000,1773.33
1999,
1999,1772.34
1998,1765.54
1998,
1997,1754.53
1997,
1996,1751.28
1996,
1995,
1995,1748.88
1994,1742.07
1994,
1993,
1993,1736.5
1992,
1992,1735.47
1991,
1991,1724.82
1990,
1990,1714.43
1989,
1989,1704.53
1988,
1988,1693.15
1987,
1987,1682.7
1986,1670.09
1986,
1985,1657.29
1985,
1984,1644.85
1984,
1980,
1977,
1975,
1974,
1973,
1972,
1971,
1970,
1967,
1965,
1964,
1961,
1957,
1956,
1955,
1950,
1946,
1944,
1942,
1941,
1940,
1938,
1936,907.0
1936,
1934,
1931,
1928,
1926,
1917,
1914,
1907,
1901,
1900,
1894,
1893,
1888,
1884,
1879,
1871,
1863,
1856,
1852,
1847,
1842,
1834,
1827,
1824,784.47
1820,761.7
1798,710.4896326
1798,
1796,
1779,
1765,726.8
1762,
1751,
1749,
1747,695.6475972
1742,682.7
1722,
1694,
1691,679.3078377
1681,
1652,675.885861
1649,
1622,
1606,
1605,651.4369118
1591,
1572,
1568,684.3
1549,
1547,680.8545
1529,
1501,
1491,670.1453219
1471,644.3
1467,
1448,
1416,669.6681366
1411,667.8
1396,680.389
1389,
1329,
1282,666.7
1272,668.9100188
1248,
1214,679.5
1207,643.3
1198,
1148,
1098,
1088,663.9678815
1080,647.0
1053,647.9198051
1048,
1010,640.2
1008,
1003,636.2143933
912,634.7
858,633.223011
818,643.7
732,642.6591809
724,628.7
701,634.8718624
612,634.9288889
600,650.2330673
519,631.3
507,638.2916239
423,631.7
399,630.437945
330,610.2707956
321,623.3
272,623.4050771
232,614.5
223,623.0776819
175,617.6147798
157,613.0
43,613.3
-1,605.4002909
-44,599.2280749
-94,603.7
-154,590.6
-164,594.286
-168,608.7
-257,601.7
-324,597.3161697
-359,594.7
-371,594.1057316
-375,597.0
-438,592.8089959
-463,604.4481798
-473,591.7
-531,578.8931934
-564,603.0
-568,590.0
-651,591.7
-674,586.3685968
-766,590.3055
-769,580.0
-773,587.9
-784,582.517837
-843,579.6288433
-850,578.3
-907,577.0200136
-927,577.0
-1048,581.1818009
-1076,572.7
-1156,576.0
-1189,589.4574439
-1260,567.7
-1357,581.3
-1409,589.1519454
-1483,572.7
-1556,569.8
-1566,559.5379345
-1622,574.5989508
-1652,595.6684431
-1663,577.7
-1740,578.0
-1746,580.7
-1823,575.8749785
-1941,573.5
-1954,578.3925521
-2014,575.1261252
-2036,548.9266811
-2044,567.7
-2128,575.7
-2131,563.0
-2191,570.3
-2223,581.8659941
-2355,577.3
