year,co2
2023,1922.39
2022,1911.82
2021,1895.26
2020,1878.93
2019,1866.58
2018,1857.33
2017,1849.58
2016,1843.12
2015,1834.26
2014,1822.57
2013,1813.41
2012,1808.12
2011,1803.15
2010,1798.93
2009,1793.53
2008,1787.01
2007,1781.38
2006,1774.96
2005,1774.16
2004,1777.05
2003,1777.33
2002,1772.66
2001,1771.22
2000,1773.33
1999,1772.34
1998,1765.54
1997,1754.53
1996,1751.28
1995,1748.88
1994,1742.07
1993,1736.5
1992,1735.47
1991,1724.82
1990,1714.43
1989,1704.53
1988,1693.15
1987,1682.7
1986,1670.09
1985,1657.29
1984,1644.85
1959,315.98
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.37
1967,322.18
1968,323.05
1969,324.62
1970,325.68
1971,326.32
1972,327.46
1973,329.68
1974,330.19
1975,331.13
1976,332.03
1977,333.84
1978,335.41
1979,336.84
1980,338.76
1981,340.12
1982,341.48
1983,343.15
1984,344.87
1985,346.35
1986,347.61
1987,349.31
1988,351.69
1989,353.2
1990,354.45
1991,355.7
1992,356.54
1993,357.21
1994,358.96
1995,360.97
1996,362.74
1997,363.88
1998,366.84
1999,368.54
2000,369.71
2001,371.32
2002,373.45
2003,375.98
2004,377.7
2005,379.98
2006,382.09
2007,384.02
2008,385.83
2009,387.64
2010,390.1
2011,391.85
2012,394.06
2013,396.74
2014,398.81
2015,401.01
2016,404.41
2017,406.76
2018,408.72
2019,411.65
2020,414.21
2021,416.41
2022,418.53
2023,421.08
1960,318.20658038167187
1960,313.0933880516286
1959,311.98389241638387
1958,316.1014028920352
1958,316.3340200101121
1957,314.57216625352925
1957,315.2703546298443
1957,316.3253801823537
1957,314.4370577968855
1956,315.342073915026
1954,314.7139613439055
1953,313.1710570119369
1953,312.8003637775662
1953,312.22274083278216
1952,312.1844627182946
1950,313.6602846482332
1950,312.0017776102837
1949,309.6939936066409
1948,311.57094999761165
1947,310.36290017732523
1947,312.8663621464335
1946,312.5596867804179
1946,311.9671347125998
1946,311.8114965345337
1945,310.440204448011
1945,311.2775834649954
1945,310.224309572614
1944,312.36164019507424
1943,312.8437329659678
1943,311.878053578341
1942,312.393938618938
1941,311.80226771747726
1941,307.7386635857962
1940,309.80091502114107
1940,310.9510867188181
1940,311.21179432912515
1939,310.4566675193962
1939,308.47982780846024
1939,311.94102882822733
1938,311.52050972739016
1938,312.3293254879136
1937,307.4076931745866
1936,307.25859856593024
1936,306.3197983876916
1936,309.3446868650601
1934,309.6306260790445
1934,307.0755443187391
1933,305.94402817135216
1933,308.27919921307927
1933,308.25556223436706
1931,305.7409186942765
1930,305.3808267142061
1929,305.78294147245686
1929,305.70537216677735
1929,305.66786848134046
1928,308.01874186181465
1926,304.96915678718324
1925,304.7159146968185
1923,303.1815383191544
1923,306.19862429992156
1920,301.8758603769565
1919,304.61320734820134
1918,303.85222132002366
1916,301.9151507114715
1915,300.7000886560916
1913,301.29772622272134
1912,299.25727749401767
1912,297.7268153632511
