year,rain
1941,117.1
1941,69.2
1941,107.3
1941,78.1
1941,56.8
1941,19.5
1941,42.3
1941,63.6
1941,18.3
1941,48.6
1941,83.0
1941,43.0
1942,93.0
1942,26.4
1942,70.0
1942,28.5
1942,107.0
1942,3.1
1942,54.4
1942,95.5
1942,113.5
1942,37.6
1942,12.6
1942,72.1
1943,108.1
1943,25.1
1943,18.4
1943,27.3
1943,104.1
1943,53.2
1943,40.2
1943,64.4
1943,65.3
1943,68.9
1943,62.4
1943,46.5
1944,81.0
1944,29.1
1944,7.6
1944,42.8
1944,23.3
1944,37.0
1944,60.3
1944,66.4
1944,141.3
1944,65.8
1944,126.7
1944,43.7
1945,36.7
1945,52.9
1945,13.9
1945,37.9
1945,45.6
1945,85.7
1945,77.7
1945,22.3
1945,58.0
1945,43.2
1945,14.1
1945,88.0
1946,59.7
1946,90.8
1946,36.0
1946,33.3
1946,53.3
1946,88.4
1946,66.3
1946,136.0
1946,151.9
1946,50.4
1946,94.4
1946,78.3
1947,90.8
1947,84.2
1947,135.9
1947,75.0
1947,100.7
1947,89.9
1947,68.5
1947,30.0
1947,45.4
1947,19.1
1947,71.9
1947,116.9
1948,175.2
1948,40.8
1948,42.4
1948,64.4
1948,52.3
1948,64.7
1948,57.3
1948,103.3
1948,56.8
1948,24.8
1948,34.9
1948,103.2
1949,56.4
1949,27.2
1949,48.9
1949,47.9
1949,30.6
1949,20.0
1949,40.3
1949,71.0
1949,23.5
1949,89.2
1949,42.0
1949,70.0
1950,14.4
1950,112.4
1950,28.4
1950,49.0
1950,33.4
1950,30.3
1950,76.6
1950,138.2
1950,104.7
1950,75.2
1950,53.6
1950,49.9
1951,73.9
1951,66.7
1951,93.4
1951,33.9
1951,53.6
1951,27.6
1951,47.7
1951,84.7
1951,61.1
1951,12.1
1951,120.7
1951,91.2
1952,82.5
1952,19.9
1952,25.5
1952,47.3
1952,57.4
1952,33.6
1952,20.8
1952,113.9
1952,67.7
1952,94.0
1952,83.2
1952,55.6
1953,14.4
1953,42.5
1953,11.2
1953,69.7
1953,40.0
1953,37.8
1953,77.3
1953,68.8
1953,36.1
1953,39.1
1953,51.5
1953,41.8
1954,33.7
1954,51.1
1954,55.5
1954,11.9
1954,106.6
1954,43.4
1954,53.2
1954,57.5
1954,43.4
1954,127.6
1954,102.9
1954,102.6
1955,84.6
1955,63.0
1955,27.3
1955,22.0
1955,53.4
1955,101.5
1955,11.9
1955,71.0
1955,51.0
1955,24.9
1955,46.7
1955,111.6
1956,73.3
1956,28.9
1956,55.7
1956,57.3
1956,20.0
1956,59.8
1956,95.8
1956,159.0
1956,103.2
1956,41.7
1956,35.8
1956,95.6
1957,42.9
1957,62.8
1957,70.7
1957,19.1
1957,63.8
1957,34.7
1957,82.5
1957,65.3
1957,130.7
1957,69.7
1957,42.8
1957,82.9
1958,36.6
1958,114.5
1958,28.6
1958,32.5
1958,107.5
1958,157.0
1958,125.3
1958,119.2
1958,103.5
1958,54.6
1958,52.1
1958,109.5
1959,39.6
1959,11.8
1959,36.9
1959,36.5
1959,74.1
1959,62.7
1959,44.6
1959,16.6
1959,23.7
1959,104.5
1959,86.8
1959,134.8
1960,78.4
1960,36.9
1960,77.1
1960,38.7
1960,56.9
1960,55.1
1960,127.2
1960,77.8
1960,80.9
1960,183.0
1960,96.5
1960,85.8
1961,93.1
1961,45.0
1961,7.4
1961,91.9
1961,22.1
1961,30.1
1961,48.1
1961,47.0
1961,79.9
1961,59.7
1961,54.9
1961,36.7
1962,38.7
1962,28.0
1962,52.4
1962,44.0
1962,63.7
1962,22.8
1962,70.8
1962,62.9
1962,116.2
1962,17.3
1962,47.5
1962,87.6
1963,44.0
1963,71.7
1963,64.4
1963,47.6
1963,38.5
1963,64.7
1963,20.4
1963,111.8
1963,47.2
1963,44.3
1963,102.9
1963,18.0
1964,11.4
1964,25.8
1964,92.8
1964,53.2
1964,41.1
1964,47.6
1964,31.2
1964,82.6
1964,49.0
1964,60.5
1964,23.1
1964,107.8
1965,98.3
1965,6.9
1965,46.2
1965,41.7
1965,54.0
1965,79.1
1965,81.3
1965,53.5
1965,79.4
1965,35.5
1965,192.6
1965,73.8
1966,95.4
1966,102.5
1966,36.6
1966,134.0
1966,37.1
1966,123.8
1966,40.5
1966,52.2
1966,60.3
1966,127.9
1966,42.4
1966,91.7
1967,34.3
1967,88.6
1967,30.1
1967,31.2
1967,122.3
1967,11.8
1967,57.4
1967,90.3
1967,87.9
1967,97.0
1967,43.0
1967,48.2
1968,74.5
1968,20.3
1968,41.8
1968,50.7
1968,41.7
1968,49.5
1968,14.0
1968,76.4
1968,102.2
1968,53.6
1968,72.3
1968,110.2
1969,98.4
1969,53.5
1969,57.0
1969,60.6
1969,110.6
1969,64.4
1969,35.7
1969,38.8
1969,45.7
1969,11.8
1969,80.7
1969,53.2
1970,57.6
1970,59.4
1970,36.3
1970,87.6
1970,12.9
1970,27.5
1970,60.2
1970,59.4
1970,49.8
1970,50.0
1970,123.7
1970,52.4
1971,36.9
1971,34.8
1971,72.9
1971,48.7
1971,29.4
1971,71.4
1971,74.3
1971,57.3
1971,25.5
1971,35.0
1971,40.6
1971,39.2
1972,94.7
1972,54.7
1972,54.1
1972,28.4
1972,60.0
1972,58.3
1972,43.2
1972,25.5
1972,6.4
1972,40.3
1972,78.2
1972,78.1
1973,52.9
1973,40.0
1973,14.1
1973,44.0
1973,83.0
1973,13.6
1973,68.1
1973,104.3
1973,74.4
1973,52.2
1973,61.5
1973,74.4
1974,88.7
1974,46.9
1974,20.4
1974,47.3
1974,62.5
1974,34.1
1974,101.1
1974,35.8
1974,120.8
1974,25.3
1974,48.2
1974,32.1
1975,80.2
1975,20.5
1975,37.3
1975,52.7
1975,37.9
1975,13.5
1975,30.2
1975,25.6
1975,103.8
1975,31.1
1975,57.5
1975,26.1
1976,59.5
1976,29.6
1976,52.8
1976,15.1
1976,59.0
1976,20.7
1976,59.8
1976,3.5
1976,155.8
1976,146.6
1976,40.4
1976,45.7
1977,58.3
1977,118.5
1977,50.4
1977,49.4
1977,15.5
1977,55.5
1977,28.1
1977,56.2
1977,47.0
1977,88.2
1977,50.9
1977,71.1
1978,53.7
1978,63.2
1978,44.1
1978,26.1
1978,19.4
1978,33.8
1978,43.6
1978,131.8
1978,43.6
1978,30.2
1978,64.6
1978,218.8
1979,66.4
1979,63.2
1979,77.9
1979,58.7
1979,88.3
1979,42.4
1979,21.9
1979,81.8
1979,30.1
1979,102.5
1979,44.7
1979,100.0
1980,116.4
1980,55.0
1980,77.2
1980,10.1
1980,35.1
1980,70.8
1980,35.9
1980,100.6
1980,80.6
1980,115.2
1980,45.6
1980,35.6
1981,37.4
1981,55.0
1981,81.9
1981,48.2
1981,106.8
1981,73.4
1981,37.1
1981,11.7
1981,99.2
1981,92.0
1981,49.3
1981,132.6
1982,45.2
1982,27.1
1982,54.3
1982,12.5
1982,42.7
1982,96.6
1982,6.2
1982,67.5
1982,89.5
1982,94.2
1982,123.5
1982,78.7
1983,62.1
1983,49.1
1983,61.2
1983,76.3
1983,88.1
1983,42.3
1983,9.7
1983,47.1
1983,79.5
1983,48.0
1983,20.5
1983,120.6
1984,89.9
1984,51.1
1984,58.4
1984,16.9
1984,30.5
1984,40.1
1984,20.1
1984,76.6
1984,70.8
1984,57.9
1984,86.4
1984,91.5
1985,61.2
1985,49.1
1985,69.8
1985,40.3
1985,83.7
1985,76.7
1985,101.2
1985,128.0
1985,30.2
1985,19.4
1985,32.8
1985,75.9
1986,105.6
1986,9.4
1986,56.4
1986,46.8
1986,65.8
1986,82.3
1986,65.2
1986,153.4
1986,3.1
1986,53.2
1986,92.0
1986,74.6
1987,32.7
1987,33.7
1987,52.5
1987,69.1
1987,28.7
1987,90.3
1987,32.0
1987,72.0
1987,59.3
1987,131.9
1987,45.0
1987,40.7
1988,107.7
1988,34.4
1988,85.1
1988,27.5
1988,75.3
1988,34.0
1988,84.0
1988,52.8
1988,37.5
1988,68.6
1988,20.8
1988,39.0
1989,29.5
1989,47.7
1989,49.0
1989,73.6
1989,22.5
1989,52.7
1989,10.4
1989,87.2
1989,31.3
1989,65.2
1989,30.8
1989,60.9
1990,76.4
1990,116.8
1990,13.3
1990,24.8
1990,48.2
1990,45.8
1990,33.3
1990,58.8
1990,16.2
1990,137.1
1990,62.5
1990,80.0
1991,73.6
1991,50.8
1991,71.9
1991,87.6
1991,4.7
1991,58.9
1991,28.5
1991,37.1
1991,49.9
1991,74.5
1991,55.7
1991,37.4
1992,33.3
1992,30.6
1992,67.8
1992,67.2
1992,34.5
1992,30.1
1992,65.6
1992,77.4
1992,70.9
1992,32.4
1992,64.9
1992,40.9
1993,62.6
1993,20.5
1993,22.1
1993,43.9
1993,161.4
1993,143.1
1993,58.2
1993,33.8
1993,101.5
1993,83.6
1993,37.8
1993,111.1
1994,71.9
1994,100.9
1994,71.4
1994,63.7
1994,64.3
1994,16.0
1994,63.1
1994,55.2
1994,93.3
1994,44.5
1994,59.9
1994,88.0
1995,113.0
1995,88.7
1995,45.7
1995,29.1
1995,38.7
1995,9.0
1995,50.8
1995,4.6
1995,42.6
1995,36.7
1995,147.6
1995,73.6
1996,92.5
1996,57.9
1996,71.2
1996,63.3
1996,78.5
1996,16.4
1996,41.7
1996,74.8
1996,18.4
1996,98.4
1996,105.6
1996,49.1
1997,15.9
1997,61.0
1997,10.9
1997,42.7
1997,68.2
1997,135.1
1997,47.6
1997,73.1
1997,18.4
1997,67.7
1997,97.3
1997,95.0
1998,86.2
1998,10.1
1998,66.3
1998,118.0
1998,38.8
1998,124.2
1998,37.4
1998,35.9
1998,92.4
1998,70.0
1998,73.7
1998,67.2
1999,71.7
1999,34.1
1999,30.1
1999,57.1
1999,34.5
1999,55.1
1999,23.4
1999,95.5
1999,113.9
1999,27.3
1999,45.9
1999,67.9
2000,38.1
2000,44.8
2000,16.4
2000,87.3
2000,49.8
2000,27.0
2000,42.3
2000,70.8
2000,98.9
2000,75.5
2000,142.4
2000,113.0
2001,32.0
2001,43.9
2001,58.9
2001,57.1
2001,58.9
2001,38.9
2001,31.6
2001,73.2
2001,35.1
2001,84.1
2001,32.6
2001,16.4
2002,49.6
2002,117.1
2002,34.7
2002,74.6
2002,99.9
2002,65.0
2002,80.2
2002,42.0
2002,16.9
2002,166.1
2002,181.3
2002,106.7
2003,44.7
2003,22.3
2003,33.6
2003,36.0
2003,97.5
2003,68.9
2003,47.6
2003,14.7
2003,36.8
2003,116.3
2003,52.7
2003,59.8
2004,89.0
2004,17.2
2004,48.0
2004,35.8
2004,34.4
2004,54.9
2004,35.6
2004,115.1
2004,50.4
2004,131.2
2004,39.2
2004,44.3
2005,63.2
2005,42.3
2005,37.2
2005,43.7
2005,76.8
2005,24.4
2005,85.9
2005,29.1
2005,46.8
2005,99.7
2005,50.1
2005,61.2
2006,16.5
2006,35.3
2006,62.5
2006,33.7
2006,93.4
2006,26.9
2006,13.0
2006,77.9
2006,85.4
2006,88.3
2006,70.0
2006,93.0
2007,64.9
2007,59.5
2007,42.5
2007,8.2
2007,39.3
2007,144.2
2007,116.2
2007,106.9
2007,22.0
2007,19.7
2007,51.6
2007,57.9
2008,97.9
2008,11.4
2008,117.4
2008,32.1
2008,26.1
2008,80.7
2008,93.5
2008,203.8
2008,103.7
2008,103.9
2008,38.3
2008,43.0
2009,64.5
2009,70.2
2009,18.9
2009,60.5
2009,62.4
2009,75.2
2009,128.4
2009,53.7
2009,20.3
2009,85.3
2009,148.3
2009,82.5
2010,52.2
2010,38.7
2010,57.8
2010,20.8
2010,60.5
2010,36.8
2010,76.4
2010,38.7
2010,106.1
2010,29.8
2010,109.7
2010,65.6
2011,26.1
2011,77.1
2011,20.6
2011,28.5
2011,37.0
2011,73.6
2011,50.7
2011,33.3
2011,68.2
2011,164.8
2011,58.1
2011,47.7
2012,65.3
2012,18.7
2012,10.9
2012,83.7
2012,55.8
2012,173.7
2012,93.9
2012,70.8
2012,87.7
2012,70.9
2012,73.1
2012,43.4
2013,91.5
2013,52.1
2013,95.6
2013,38.0
2013,40.4
2013,28.1
2013,99.0
2013,34.2
2013,31.8
2013,104.9
2013,20.1
2013,78.6
2014,99.1
2014,90.4
2014,60.4
2014,38.9
2014,79.5
2014,34.0
2014,38.0
2014,193.4
2014,14.0
2014,94.7
2014,156.3
2014,57.0
2015,48.9
2015,29.2
2015,52.3
2015,41.3
2015,94.5
2015,11.7
2015,68.1
2015,86.8
2015,47.3
2015,40.9
2015,93.9
2015,175.6
2016,117.1
2016,55.4
2016,24.8
2016,69.1
2016,45.0
2016,72.1
2016,40.7
2016,80.2
2016,76.0
2016,38.3
2016,38.2
2016,46.5
2017,21.6
2017,63.7
2017,76.5
2017,6.7
2017,40.0
2017,103.5
2017,47.1
2017,73.6
2017,88.2
2017,43.2
2017,73.9
2017,62.6
2018,88.4
2018,27.0
2018,103.8
2018,61.6
2018,14.5
2018,5.3
2018,38.9
2018,43.9
2018,43.7
2018,46.3
2018,137.1
2018,83.8
2019,21.7
2019,19.5
2019,83.4
2019,72.2
2019,36.1
2019,77.8
2019,27.1
2019,77.7
2019,102.0
2019,76.3
2019,176.6
2019,59.2
2020,37.2
2020,147.8
2020,27.9
2020,11.6
2020,6.6
2020,77.4
2020,103.1
2020,57.9
2020,86.8
2020,41.4
2021,108.0
2021,56.8
2021,27.9
2021,9.8
2021,94.8
2021,12.7
2021,73.2
2021,36.7
2021,40.1
2021,83.7
2021,10.9
2021,95.6
2022,13.6
2022,89.1
2022,55.6
2022,33.4
2022,55.9
2022,47.4
2022,33.0
2022,18.7
2022,129.9
2022,114.4
2022,54.8
2022,77.7
2023,34.7
2023,14.1
2023,115.7
2023,70.7
2023,27.4
2023,26.8
2023,134.0
2023,116.3
