,Year,"Epica Dome C, Antartica"
2058,43,613.3
2066,399,630.437945
2079,1008,
2081,1048,
2085,1098,
2086,1148,
2087,1198,
2090,1248,
2093,1329,
2094,1389,
2098,1448,
2099,1467,
2102,1501,
2103,1529,
2104,1547,680.8545
2105,1549,
2107,1572,
2108,1591,
2110,1606,
2111,1622,
2112,1649,
2114,1681,
2116,1694,
2117,1722,
2120,1749,
2121,1751,
2122,1762,
2124,1779,
2125,1796,
2126,1798,
2130,1827,
2131,1834,
2132,1842,
2133,1847,
2134,1852,
2135,1856,
2136,1863,
2137,1871,
2138,1879,
2139,1884,
2140,1888,
2141,1893,
2142,1894,
2143,1900,
2144,1901,
2145,1907,
2146,1914,
2147,1917,
2148,1926,
2149,1928,
2150,1931,
2151,1934,
2152,1936,
2154,1938,
2155,1940,
2156,1941,
2157,1942,
2158,1944,
2159,1946,
2160,1950,
2161,1955,
2162,1956,
2163,1957,
2164,1961,
2165,1964,
2166,1965,
2167,1967,
2168,1970,
2169,1971,
2170,1972,
2171,1973,
2172,1974,
2173,1975,
2174,1977,
2175,1980,
2177,1984,
2178,1985,
2179,1986,
2180,1987,
2181,1988,
2182,1989,
2183,1990,
2184,1991,
2185,1992,
2186,1993,
2187,1994,
2188,1995,
2189,1996,
2190,1997,
2191,1998,
2192,1999,
2193,2000,
2194,2001,
2195,2002,
2196,2003,
2197,2004,
2198,2005,
2199,2006,
2200,2007,
2201,2008,
2202,2009,
2203,2010,
2204,2011,
2205,2012,
2206,2013,
2207,2014,
2208,2015,
