,year,ch4
0,-797446,399.3
1,-796467,457.8
2,-795327,396.1
3,-794369,418.0
4,-792988,428.3
5,-792449,419.6666667
6,-791645,451.2
7,-790877,469.6666667
8,-790044,466.2
9,-789426,503.0
10,-788740,483.0
11,-788087,540.3333333
12,-787312,543.2
13,-786864,561.6666667
14,-786172,588.9
15,-785723,659.3333333
16,-784988,713.4
17,-784698,699.0
18,-784589,738.67
19,-784539,723.0
20,-784009,676.9
21,-783436,686.3333333
22,-782689,639.4
23,-782157,653.3333333
24,-781478,618.0
25,-780900,639.3333333
26,-780007,623.3
27,-779682,633.3333333
28,-778794,629.9
29,-778144,616.0
30,-777333,598.3
31,-776810,614.0
32,-776081,681.0
33,-775460,657.6666667
34,-774605,601.2
35,-774043,617.6666667
36,-773295,577.4
37,-772575,583.3333333
38,-771681,548.5
39,-771049,565.6666667
40,-770248,529.5
41,-770063,538.6666667
42,-769878,543.0
43,-769590,556.0
44,-769255,639.3333333
45,-768980,646.6666667
46,-768651,632.1
47,-768344,629.7
48,-768129,621.6666667
49,-767776,616.3
50,-767629,587.0
51,-767349,569.8
52,-766740,568.0
53,-765671,486.4
54,-765121,519.0
55,-764296,466.7
56,-763935,462.0
57,-763555,469.6666667
58,-763272,500.0
59,-763133,535.0
60,-762798,517.8
61,-762634,563.3333333
62,-762193,549.3333333
63,-761867,556.0
64,-761513,538.4
65,-760876,521.0
66,-760088,474.3
67,-759624,473.2
68,-758685,453.7
69,-758065,462.3333333
70,-757250,433.6
71,-756866,421.0
72,-756431,485.6666667
73,-756193,497.6666667
74,-756050,498.1
75,-755557,505.3333333
76,-755265,479.6666667
77,-755045,473.3
78,-754835,439.4
79,-754370,419.0
80,-753665,444.5
81,-753189,429.0
82,-752398,406.4
83,-752070,409.6666667
84,-750617,431.3333333
85,-749805,400.9
86,-749303,428.3333333
87,-748653,407.6
88,-748094,399.6666667
89,-747369,377.5
90,-746919,408.6666667
91,-746283,392.2
92,-745766,404.6666667
93,-745099,402.4
94,-744652,428.0
95,-744054,415.1
96,-743522,432.3333333
97,-742824,421.3
98,-742362,421.6666667
99,-741756,439.1
100,-741257,422.3333333
101,-740552,401.5
102,-740121,409.3333333
103,-739472,387.7
104,-738917,414.0
105,-738261,410.6
106,-737859,403.0
107,-737323,408.3
108,-736868,407.3333333
109,-736179,423.0
110,-735872,507.6666667
111,-735335,541.9
112,-734972,561.0
113,-734462,545.9
114,-734106,541.0
115,-733574,517.6
116,-733151,531.3333333
117,-732638,519.9
118,-732244,519.3333333
119,-731697,529.5
120,-731209,525.3333333
121,-730511,520.5
122,-730196,537.3333333
123,-729491,511.7
124,-729076,538.0
125,-728293,544.6
126,-727804,551.0
127,-726923,530.3333333
128,-726502,559.0
129,-725757,530.8
130,-725230,540.6666667
131,-724544,504.3
132,-723918,561.0
133,-722970,478.45
134,-722423,581.0
135,-721737,559.6
136,-721021,566.3333333
137,-719971,514.7
138,-719307,491.3333333
139,-718582,401.1
140,-717691,407.6666667
141,-716685,391.7
142,-716013,402.6666667
143,-715244,398.8
144,-714513,434.6666667
145,-713700,531.3
146,-713164,570.0
147,-712239,577.0
148,-711787,593.0
149,-711060,596.8
150,-710414,587.6666667
151,-709618,573.2
152,-709001,591.0
153,-708191,556.3
154,-707808,567.7
155,-707680,611.3333333
156,-706903,520.5
157,-706419,512.3
158,-705648,504.5
159,-705202,519.3
160,-704452,610.3333333
161,-704026,610.3333333
162,-703387,584.6
163,-702911,602.3333333
164,-702258,588.0
165,-701925,593.3333333
166,-701377,582.0
167,-700968,605.3333333
168,-700513,593.9
169,-700101,584.3333333
170,-699581,570.8
171,-699253,594.6666667
172,-698715,578.4
173,-698395,581.0
174,-697921,565.774
175,-697606,594.0
176,-697181,604.3333333
177,-696323,588.0
178,-696096,604.6666667
179,-695657,603.7
180,-694967,623.8
181,-694692,644.6666667
182,-694279,642.9
183,-694030,647.2
184,-693621,631.7
185,-693349,652.0
186,-692955,635.3
187,-692699,638.6666667
188,-692313,629.0
189,-692055,615.0
190,-691416,590.1
191,-691006,601.5
192,-690749,595.5
193,-690352,557.4
194,-690085,570.3333333
195,-689672,567.6
196,-689416,584.3333333
197,-688756,561.0
198,-688329,548.9
199,-688033,555.3333333
200,-687608,540.0
201,-687345,556.6666667
202,-686898,541.5
203,-686634,537.6666667
204,-686203,527.3
205,-685935,529.3
206,-685473,537.6
207,-684737,522.5
208,-684441,521.0
209,-683975,513.7
