,Year (negative values = BC),"EPICA Dome C,  Antarctica"
1,-797446.1,399.3
2,-796467.4,457.8
3,-795327,396.1
4,-794369.7,418.0
5,-792988,428.3
6,-792449.6,419.6666667
7,-791645.5,451.2
8,-790877,469.6666667
9,-790044.8,466.2
10,-789426.6,503.0
11,-788740.4,483.0
12,-788087.6,540.3333333
13,-787312,543.2
14,-786864.7,561.6666667
15,-786172.7,588.9
16,-785723.2,659.3333333
17,-784988.2,713.4
18,-784698.6,699.0
19,-784589.8,738.67
20,-784539.9,723.0
21,-784009.5,676.9
22,-783436.1,686.3333333
23,-782689.9,639.4
24,-782157.5,653.3333333
25,-781478,618.0
26,-780900.5,639.3333333
27,-780007.1,623.3
28,-779682.9,633.3333333
29,-778794.8,629.9
30,-778144.6,616.0
31,-777333.2,598.3
32,-776810.3,614.0
33,-776081.5,681.0
34,-775460.3,657.6666667
35,-774605.1,601.2
36,-774043.8,617.6666667
37,-773295.5,577.4
38,-772575.4,583.3333333
39,-771681.9,548.5
40,-771049.3,565.6666667
41,-770248.5,529.5
42,-770063.6,538.6666667
43,-769878.6,543.0
44,-769590.8,556.0
45,-769255.1,639.3333333
46,-768980.6,646.6666667
47,-768651.7,632.1
48,-768344.1,629.7
49,-768129.9,621.6666667
50,-767776.6,616.3
51,-767629.8,587.0
52,-767349.6,569.8
53,-766740.6,568.0
54,-765671.2,486.4
55,-765121.4,519.0
56,-764296.1,466.7
57,-763935.9,462.0
58,-763555.4,469.6666667
59,-763272.1,500.0
60,-763133.6,535.0
61,-762798.3,517.8
62,-762634.7,563.3333333
63,-762193.3,549.3333333
64,-761867.7,556.0
65,-761513.3,538.4
66,-760876.8,521.0
67,-760088.6,474.3
68,-759624.4,473.2
69,-758685.7,453.7
70,-758065.2,462.3333333
71,-757250.2,433.6
72,-756866.5,421.0
73,-756431.6,485.6666667
74,-756193.3,497.6666667
75,-756050.2,498.1
76,-755557.8,505.3333333
77,-755265.8,479.6666667
78,-755045.1,473.3
79,-754835.7,439.4
80,-754370.5,419.0
81,-753665.2,444.5
82,-753189.6,429.0
83,-752398.9,406.4
84,-752070,409.6666667
85,-750617.6,431.3333333
86,-749805.3,400.9
87,-749303.8,428.3333333
88,-748653.2,407.6
89,-748094.9,399.6666667
90,-747369.6,377.5
91,-746919.5,408.6666667
92,-746283.3,392.2
93,-745766.4,404.6666667
94,-745099.5,402.4
95,-744652.7,428.0
96,-744054.6,415.1
97,-743522.4,432.3333333
98,-742824.4,421.3
99,-742362.3,421.6666667
100,-741756.3,439.1
101,-741257.3,422.3333333
102,-740552.5,401.5
103,-740121.4,409.3333333
104,-739472.9,387.7
105,-738917.7,414.0
106,-738261.5,410.6
107,-737859.8,403.0
108,-737323.4,408.3
109,-736868.5,407.3333333
110,-736179.9,423.0
111,-735872.3,507.6666667
112,-735335.5,541.9
113,-734972.9,561.0
114,-734462.6,545.9
115,-734106.6,541.0
116,-733574.1,517.6
117,-733151.1,531.3333333
118,-732638.3,519.9
119,-732244.4,519.3333333
120,-731697.9,529.5
121,-731209.4,525.3333333
122,-730511,520.5
123,-730196,537.3333333
124,-729491.5,511.7
125,-729076.6,538.0
126,-728293.2,544.6
127,-727804,551.0
128,-726923,530.3333333
129,-726502.6,559.0
130,-725757.3,530.8
131,-725230.1,540.6666667
132,-724544.9,504.3
133,-723918.5,561.0
134,-722970.2,478.45
135,-722423.1,581.0
136,-721737.7,559.6
137,-721021.6,566.3333333
138,-719971.1,514.7
139,-719307.7,491.3333333
140,-718582.9,401.1
141,-717691.6,407.6666667
142,-716685.4,391.7
143,-716013,402.6666667
144,-715244.5,398.8
145,-714513,434.6666667
146,-713700,531.3
147,-713164.9,570.0
148,-712239.3,577.0
149,-711787.7,593.0
150,-711060.4,596.8
151,-710414.8,587.6666667
152,-709618.8,573.2
153,-709001.4,591.0
154,-708191.3,556.3
155,-707808.5,567.7
156,-707680.6,611.3333333
157,-706903.7,520.5
158,-706419.7,512.3
159,-705648.7,504.5
160,-705202.7,519.3
161,-704452.3,610.3333333
162,-704026.5,610.3333333
163,-703387.3,584.6
164,-702911.3,602.3333333
165,-702258.4,588.0
166,-701925.6,593.3333333
167,-701377,582.0
168,-700968.2,605.3333333
169,-700513.3,593.9
170,-700101.8,584.3333333
171,-699581.2,570.8
172,-699253.2,594.6666667
173,-698715.3,578.4
174,-698395.5,581.0
175,-697921.7,565.774
176,-697606.9,594.0
177,-697181.7,604.3333333
178,-696323.8,588.0
179,-696096.6,604.6666667
180,-695657.8,603.7
181,-694967.5,623.8
182,-694692.8,644.6666667
183,-694279,642.9
184,-694030.1,647.2
185,-693621.2,631.7
186,-693349.1,652.0
187,-692955,635.3
188,-692699.2,638.6666667
189,-692313.4,629.0
190,-692055.3,615.0
191,-691416.1,590.1
192,-691006,601.5
193,-690749.9,595.5
194,-690352.9,557.4
195,-690085.1,570.3333333
196,-689672.1,567.6
197,-689416.2,584.3333333
198,-688756.8,561.0
199,-688329.5,548.9
200,-688033.2,555.3333333
201,-687608.8,540.0
202,-687345.7,556.6666667
203,-686898,541.5
204,-686634.6,537.6666667
205,-686203.8,527.3
206,-685935.9,529.3
207,-685473.8,537.6
208,-684737.2,522.5
209,-684441.3,521.0
210,-683975.3,513.7
211,-683749.3,507.6666667
212,-682911.6,519.6
213,-682435.5,504.3
214,-682104.5,498.6666667
215,-681617.1,498.1
216,-681309.9,494.0
217,-680776.6,543.06
218,-680702.6,523.0
219,-680439.4,505.3333333
220,-679822,485.6
221,-679466.7,481.5
222,-678896.2,489.5
223,-678606.3,465.6666667
224,-678160.5,445.7
225,-677785.7,459.6666667
226,-677246.1,543.9
227,-677148.9,500.3333333
228,-676882.4,494.0
229,-676236.1,495.4
230,-675913.5,491.1
231,-675341.7,463.5
232,-675022.5,466.0
233,-674597.5,454.6
234,-674206.2,536.0
235,-673589.7,551.48
236,-673159,554.3333333
237,-672458.3,564.0
238,-672163.5,562.4
239,-671487.7,512.45
240,-671112.9,529.0
241,-670381.6,471.1
242,-669973.9,462.3333333
243,-669275.8,439.3
244,-669049.6,483.0
245,-668964.5,489.3333333
246,-667679,396.3
247,-666842.2,390.2
248,-666375.8,385.0
249,-665639.5,364.5
250,-665029.8,374.3333333
251,-664267.5,376.0
252,-662083.7,413.6
253,-660574.1,384.3333333
254,-659084.3,401.6666667
255,-657454.2,359.25
256,-655794.8,343.5
257,-654857.4,398.3333333
258,-654141,414.0
259,-652530.6,396.6666667
260,-650704.9,409.0
261,-648727.4,414.4
262,-646941.5,425.6666667
263,-644705.6,428.6666667
264,-642524.5,428.6666667
265,-641233.7,386.3333333
266,-640488.8,369.4
267,-637648.5,373.0
268,-634926.6,373.3333333
269,-632346.8,360.6666667
270,-629795,376.4
271,-627140.1,355.6666667
272,-625076.3,386.3333333
273,-624069.5,474.0
274,-623521.4,478.3333333
275,-622646.1,572.6666667
276,-622066.6,571.7
277,-621230.2,618.3333333
278,-620626.4,660.6666667
279,-619746.2,626.6666667
280,-619097.2,609.3333333
281,-617730,602.3333333
282,-616396.4,603.8
283,-615003.4,611.0
284,-613630.2,617.0
285,-612402.6,620.3333333
286,-611220.1,600.7
287,-610005.3,619.6666667
288,-608838.5,592.6666667
289,-607636.8,582.6666667
290,-606941.1,576.6666667
291,-606475.2,577.9
292,-605204.6,537.6666667
293,-603906.7,532.6666667
294,-602511.6,503.0
295,-601116.2,525.9
296,-599695.4,542.3333333
297,-598280.8,534.3333333
298,-596845.1,544.0
299,-595983.6,495.6666667
300,-595323.8,465.0
301,-593950.3,448.3333333
302,-593158.6,463.0
303,-592512.3,538.6666667
304,-591387.9,509.6666667
305,-590203.7,483.0
306,-588430.4,428.3333333
307,-587885.8,480.3333333
308,-586664.7,468.0
309,-585595.9,451.2
310,-584416.6,470.3333333
311,-580955.7,482.4
312,-580024.3,488.3333333
313,-579114.4,484.3333333
314,-578373.1,505.0
315,-578004.4,520.6666667
316,-577787.5,608.7
317,-577199.3,618.3333333
318,-576641.5,601.6666667
319,-576100.3,602.0
320,-575582.6,578.9
321,-575051.6,596.6666667
322,-574552.5,584.0
323,-574039.1,589.3333333
324,-573572.5,580.5
325,-573097.2,600.0
326,-572646,605.0
327,-572197,619.5
328,-571749.1,598.4
329,-571311.6,613.3333333
330,-570899.2,612.0
331,-570475,614.0
332,-570050.7,603.8
333,-569652.4,610.3333333
334,-569228.5,594.0
335,-568816.3,597.0
336,-568418.6,579.8
337,-567997.2,587.6666667
338,-567598.1,589.0
339,-567208.5,590.0
340,-566820.5,588.5
341,-566429.5,613.0
342,-566037.3,615.0
343,-565642.4,603.3333333
344,-565268.4,620.0
345,-564888.5,626.0
346,-564501.4,618.0
347,-564107.5,627.0
348,-563734.5,576.5
349,-563335,589.3333333
350,-562958.7,581.3333333
351,-562571.8,579.0
352,-562184.7,549.5
353,-561780.9,554.0
354,-561393.9,528.6666667
355,-560968.7,532.3333333
356,-560549.4,494.6
357,-560137.8,497.0
358,-559692.3,486.0
359,-559452.8,483.6666667
360,-558972.4,464.3333333
361,-558500.1,510.6666667
362,-558291,515.6666667
363,-557811.4,501.3333333
364,-557289.9,492.3333333
365,-556745.2,467.9
366,-556227.4,442.6666667
367,-555723,442.6666667
368,-555222.5,495.6666667
369,-554777.9,530.6666667
370,-554168.1,575.3333333
371,-553664.1,577.6666667
372,-553172.6,557.3333333
373,-552629.5,519.4
374,-552016,500.6666667
375,-551369.1,471.3333333
376,-550729.5,431.3333333
377,-550369.8,443.0
378,-549988.4,490.8
