year,co2,unc
1984,1644.68,0.67
1985,1657.29,0.59
1986,1670.09,0.74
1987,1682.71,0.49
1988,1693.13,0.67
1989,1704.53,0.55
1990,1714.43,0.68
1991,1724.84,0.72
1992,1735.46,0.57
1993,1736.49,0.46
1994,1742.05,0.58
1995,1748.88,0.48
1996,1751.28,0.68
1997,1754.52,0.42
1998,1765.54,0.64
1999,1772.35,0.64
2000,1773.33,0.81
2001,1771.16,0.59
2002,1772.67,0.55
2003,1777.33,0.5
2004,1777.05,0.5
2005,1774.16,0.64
2006,1774.96,0.56
2007,1781.37,0.63
2008,1787.01,0.77
2009,1793.53,0.69
2010,1798.93,0.73
2011,1803.14,0.63
2012,1808.04,0.63
2013,1813.42,0.66
2014,1822.57,0.53
2015,1834.28,0.55
2016,1843.12,0.68
2017,1849.52,0.64
2018,1857.44,0.82
2019,1866.84,0.6
2020,1879.45,0.56
2021,1895.11,0.55
2022,1910.97,0.78
2023,1921.88,0.62
