,Bag,ztop,Year,Deuterium,Temperature
0,1,0.0,2000,,
1,2,0.55,1993,,
2,3,1.1,1987,,
3,4,1.65,1981,,
4,5,2.2,1974,,
5,6,2.75,1967,,
6,7,3.3,1960,,
7,8,3.85,1953,,
8,9,4.4,1945,,
9,10,4.95,1937,,
10,11,5.5,1928,,
11,12,6.05,1920,,
12,13,6.6,1912,-390.9,0.88
13,14,7.15,1904,-385.1,1.84
14,15,7.7,1895,-377.8,3.04
15,16,8.25,1886,-394.1,0.35
16,17,8.8,1877,-398.7,-0.42
17,18,9.35,1869,-395.9,0.05
18,19,9.9,1860,-395.9,0.05
19,20,10.45,1851,-399.3,-0.52
20,21,11.0,1841,-391.4,0.79
21,22,11.55,1831,-399.5,-0.55
22,23,12.1,1821,-402.9,-1.11
23,24,12.65,1811,-393.9,0.38
24,25,13.2,1800,-398.6,-0.4
25,26,13.75,1790,-389.8,1.05
26,27,14.3,1779,-394.5,0.28
27,28,14.85,1769,-400.5,-0.72
28,29,15.4,1759,-403.6,-1.23
29,30,15.95,1749,-393.1,0.51
30,31,16.5,1738,-410.9,-2.44
31,32,17.05,1727,-393.6,0.42
32,33,17.6,1717,-391.1,0.84
33,34,18.15,1706,-391.9,0.71
34,35,18.7,1695,-396.3,-0.02
35,36,19.25,1684,-397.0,-0.14
36,37,19.8,1673,-404.7,-1.41
37,38,20.35,1661,-398.2,-0.34
38,39,20.9,1649,-395.2,0.16
39,40,21.45,1638,-403.5,-1.22
40,41,22.0,1627,-398.6,-0.41
41,42,22.55,1615,-399.7,-0.59
42,43,23.1,1604,-396.0,0.03
43,44,23.65,1592,-400.2,-0.67
44,45,24.2,1580,-401.6,-0.9
45,46,24.75,1568,-405.4,-1.53
46,47,25.3,1555,-399.0,-0.47
47,48,25.85,1543,-396.9,-0.12
48,49,26.4,1532,-394.9,0.21
49,50,26.95,1520,-406.6,-1.73
50,51,27.5,1508,-395.2,0.16
51,52,28.05,1496,-395.3,0.14
52,53,28.6,1484,-399.5,-0.56
53,54,29.15,1472,-401.0,-0.8
54,55,29.7,1460,-393.6,0.42
55,56,30.25,1447,-410.4,-2.36
56,57,30.8,1435,-401.3,-0.85
57,58,31.35,1422,-398.3,-0.36
58,59,31.9,1409,-388.5,1.26
59,60,32.45,1396,-391.9,0.7
60,61,33.0,1383,-400.8,-0.77
61,62,33.55,1370,-387.7,1.4
62,63,34.1,1357,-401.4,-0.87
63,64,34.65,1344,-401.0,-0.81
64,65,35.2,1331,-387.3,1.46
65,66,35.75,1318,-390.2,0.98
66,67,36.3,1306,-394.5,0.27
67,68,36.85,1292,-401.9,-0.96
68,69,37.4,1278,-399.8,-0.61
69,70,37.95,1264,-399.9,-0.63
70,71,38.5,1250,-399.1,-0.49
71,72,39.05,1235,-401.9,-0.96
72,73,39.6,1221,-404.8,-1.44
73,74,40.15,1206,-401.6,-0.91
74,75,40.7,1192,-396.7,-0.1
75,76,41.25,1178,-397.1,-0.16
76,77,41.8,1165,-394.2,0.32
77,78,42.35,1152,-395.9,0.03
78,79,42.9,1138,-392.7,0.56
79,80,43.45,1126,-390.4,0.94
80,81,44.0,1113,-389.0,1.17
81,82,44.55,1101,-387.0,1.5
82,83,45.1,1089,-402.3,-1.03
83,84,45.65,1075,-392.5,0.59
84,85,46.2,1061,-404.6,-1.41
85,86,46.75,1047,-390.5,0.92
86,87,47.3,1033,-402.3,-1.03
87,88,47.85,1019,-400.1,-0.67
88,89,48.4,1004,-399.4,-0.55
89,90,48.95,989,-400.6,-0.75
90,91,49.5,975,-393.8,0.38
91,92,50.05,960,-398.5,-0.4
92,93,50.6,946,-398.7,-0.44
93,94,51.15,932,-401.8,-0.95
94,95,51.7,918,-395.2,0.14
95,96,52.25,904,-390.1,0.99
96,97,52.8,890,-393.9,0.36
97,98,53.35,876,-400.6,-0.75
98,99,53.9,861,-400.9,-0.8
99,100,54.45,847,-391.7,0.72
100,101,55.0,832,-399.3,-0.54
101,102,55.55,818,-386.7,1.55
102,103,56.1,804,-401.5,-0.9
103,104,56.65,790,-398.1,-0.34
104,105,57.2,776,-390.4,0.93
105,106,57.75,762,-389.8,1.03
106,107,58.3,749,-390.7,0.88
107,108,58.85,735,-399.3,-0.54
108,109,59.4,721,-392.5,0.58
109,110,59.95,707,-393.8,0.37
110,111,60.5,692,-394.4,0.27
111,112,61.05,678,-397.0,-0.16
112,113,61.6,664,-397.8,-0.3
113,114,62.15,649,-388.6,1.23
114,115,62.7,635,-394.7,0.22
115,116,63.25,620,-390.6,0.89
116,117,63.8,606,-397.0,-0.17
117,118,64.35,592,-386.6,1.55
118,119,64.9,578,-390.6,0.89
119,120,65.45,564,-397.0,-0.17
120,121,66.0,550,-396.1,-0.02
121,122,66.55,535,-398.9,-0.48
122,123,67.1,519,-400.2,-0.7
123,124,67.65,503,-398.7,-0.45
124,125,68.2,487,-389.7,1.04
125,126,68.75,472,-401.6,-0.93
126,127,69.3,456,-397.9,-0.32
127,128,69.85,441,-399.2,-0.54
128,129,70.4,425,-397.6,-0.27
129,130,70.95,410,-390.5,0.9
130,131,71.5,394,-401.5,-0.92
131,132,72.05,379,-395.7,0.04
132,133,72.6,362,-394.5,0.24
133,134,73.15,346,-402.9,-1.15
134,135,73.7,330,-401.0,-0.84
135,136,74.25,313,-391.5,0.73
136,137,74.8,296,-403.4,-1.24
137,138,75.35,280,-393.4,0.42
138,139,75.9,264,-393.8,0.35
139,140,76.45,248,-400.8,-0.81
140,141,77.0,231,-399.3,-0.56
141,142,77.55,214,-396.6,-0.11
142,143,78.1,196,-395.3,0.1
143,144,78.65,180,-392.6,0.55
144,145,79.2,163,-404.4,-1.41
145,146,79.75,146,-394.4,0.25
146,147,80.3,129,-402.2,-1.04
147,148,80.85,111,-401.9,-0.99
148,149,81.4,94,-393.8,0.35
149,150,81.95,78,-402.3,-1.06
150,151,82.5,62,-385.1,1.79
151,152,83.05,45,-395.9,0.0
152,153,83.6,28,-395.8,0.01
153,154,84.15,12,-398.2,-0.38
154,155,84.7,-5,-394.8,0.18
155,156,85.25,-22,-397.7,-0.3
156,157,85.8,-40,-400.3,-0.73
157,158,86.35,-57,-402.4,-1.08
158,159,86.9,-75,-396.0,-0.02
159,160,87.45,-93,-401.4,-0.92
160,161,88.0,-110,-386.1,1.62
161,162,88.55,-128,-400.1,-0.7
162,163,89.1,-145,-400.3,-0.74
163,164,89.65,-162,-393.2,0.44
164,165,90.2,-179,-399.7,-0.64
165,166,90.75,-197,-397.9,-0.34
166,167,91.3,-215,-402.0,-1.02
167,168,91.85,-233,-398.7,-0.48
168,169,92.4,-252,-398.6,-0.46
169,170,92.95,-269,0.2,
170,171,93.5,-286,-390.6,0.86
171,172,94.05,-303,-394.0,0.3
172,173,94.6,-320,-397.9,-0.35
173,174,95.15,-338,-394.8,0.17
174,175,95.7,-356,-408.2,-2.05
175,176,96.25,-376,-404.3,-1.41
176,177,96.8,-396,-399.6,-0.63
177,178,97.35,-416,-400.8,-0.83
178,179,97.9,-435,-401.5,-0.94
179,180,98.45,-454,-407.7,-1.97
180,181,99.0,-473,-400.5,-0.78
181,182,99.55,-493,-395.8,0.0
182,183,100.1,-512,-399.7,-0.65
183,184,100.65,-530,-399.6,-0.63
184,185,101.2,-549,-394.8,0.16
185,186,101.75,-567,-398.5,-0.45
186,187,102.3,-585,-390.2,0.92
187,188,102.85,-602,-396.4,-0.11
188,189,103.4,-620,-392.7,0.51
189,190,103.95,-639,-400.4,-0.77
190,191,104.5,-657,-393.5,0.37
191,192,105.05,-674,-390.6,0.85
192,193,105.6,-691,-395.2,0.09
193,194,106.15,-709,-396.9,-0.19
194,195,106.7,-728,-399.1,-0.56
195,196,107.25,-746,-396.9,-0.2
196,197,107.8,-764,-401.0,-0.88
197,198,108.35,-782,-387.9,1.29
198,199,108.9,-800,-390.3,0.89
199,200,109.45,-817,-390.8,0.81
200,201,110.0,-834,-390.2,0.91
201,202,110.55,-851,-395.6,0.01
202,203,111.1,-868,-387.7,1.32
203,204,111.65,-885,-388.9,1.12
204,205,112.2,-901,-388.9,1.12
205,206,112.75,-919,-395.4,0.04
206,207,113.3,-938,-399.5,-0.64
207,208,113.85,-956,-401.7,-1.0
208,209,114.4,-974,-392.2,0.57
209,210,114.95,-992,-393.9,0.29
210,211,115.5,-1011,-397.7,-0.34
211,212,116.05,-1030,-401.1,-0.91
212,213,116.6,-1049,-395.7,-0.01
213,214,117.15,-1068,-398.7,-0.51
214,215,117.7,-1087,-395.0,0.1
215,216,118.25,-1105,-394.7,0.15
216,217,118.8,-1124,-395.8,-0.03
217,218,119.35,-1142,-391.8,0.63
218,219,119.9,-1160,0.95,
219,220,120.45,-1178,-387.9,1.27
220,221,121.0,-1196,-404.4,-1.46
221,222,121.55,-1215,-401.1,-0.91
222,223,122.1,-1235,-403.4,-1.3
223,224,122.65,-1256,-391.8,0.62
224,225,123.2,-1276,-400.5,-0.82
225,226,123.75,-1296,-406.2,-1.76
226,227,124.3,-1317,-392.7,0.47
227,228,124.85,-1336,-400.0,-0.74
228,229,125.4,-1356,-401.9,-1.05
229,230,125.95,-1375,-391.3,0.7
230,231,126.5,-1395,-399.8,-0.71
231,232,127.05,-1415,-404.2,-1.44
232,233,127.6,-1435,-395.6,-0.01
233,234,128.15,-1455,-397.2,-0.28
234,235,128.7,-1475,-398.2,-0.44
235,236,129.25,-1495,-396.6,-0.18
236,237,129.8,-1514,-395.6,-0.02
237,238,130.35,-1533,-392.7,0.46
238,239,130.9,-1553,-401.8,-1.04
239,240,131.45,-1572,-387.3,1.35
240,241,132.0,-1590,-394.6,0.15
241,242,132.55,-1609,-397.2,-0.29
242,243,133.1,-1628,-394.5,0.16
243,244,133.65,-1648,-399.5,-0.67
244,245,134.2,-1667,-389.9,0.92
245,246,134.75,-1685,-390.8,0.77
246,247,135.3,-1703,-394.4,0.17
247,248,135.85,-1722,-391.7,0.62
248,249,136.4,-1740,-389.2,1.03
249,250,136.95,-1758,-401.6,-1.02
250,251,137.5,-1777,-387.2,1.36
251,252,138.05,-1795,-387.8,1.26
252,253,138.6,-1813,-404.9,-1.57
253,254,139.15,-1832,-388.9,1.07
254,255,139.7,-1852,-394.9,0.08
255,256,140.25,-1871,-393.8,0.26
256,257,140.8,-1891,-399.6,-0.7
257,258,141.35,-1911,-400.9,-0.92
258,259,141.9,-1930,-391.0,0.72
259,260,142.45,-1950,-396.1,-0.12
260,261,143.0,-1969,-398.5,-0.52
261,262,143.55,-1989,-396.5,-0.19
262,263,144.1,-2010,-397.8,-0.41
263,264,144.65,-2029,-392.9,0.4
264,265,145.2,-2049,-398.7,-0.56
265,266,145.75,-2069,-398.9,-0.59
266,267,146.3,-2087,-390.6,0.78
267,268,146.85,-2106,-390.4,0.81
268,269,147.4,-2126,-402.3,-1.16
269,270,147.95,-2145,-389.9,0.89
270,271,148.5,-2164,-390.3,0.82
271,272,149.05,-2184,-398.8,-0.59
272,273,149.6,-2203,-397.8,-0.42
273,274,150.15,-2223,-394.9,0.06
274,275,150.7,-2242,-392.2,0.5
275,276,151.25,-2262,-404.7,-1.57
276,277,151.8,-2281,-391.2,0.67
277,278,152.35,-2300,-387.3,1.31
278,279,152.9,-2319,-396.4,-0.2
279,280,153.45,-2338,-387.0,1.36
280,281,154.0,-2356,-398.1,-0.48
281,282,154.55,-2376,-401.4,-1.03
282,283,155.1,-2396,-395.2,0.0
283,284,155.65,-2417,-393.4,0.29
284,285,156.2,-2436,-394.9,0.04
285,286,156.75,-2456,-397.1,-0.32
286,287,157.3,-2475,-400.6,-0.9
287,288,157.85,-2495,-393.0,0.35
288,289,158.4,-2514,-387.1,1.33
289,290,158.95,-2533,-397.5,-0.39
290,291,159.5,-2552,-390.4,0.78
291,292,160.05,-2571,-399.3,-0.7
292,293,160.6,-2591,-397.5,-0.4
293,294,161.15,-2612,-399.9,-0.8
294,295,161.7,-2632,-395.0,0.01
295,296,162.25,-2651,-394.1,0.16
296,297,162.8,-2671,-393.4,0.27
297,298,163.35,-2691,-398.4,-0.56
298,299,163.9,-2711,-395.1,-0.01
299,300,164.45,-2730,-396.0,-0.16
300,301,165.0,-2751,-397.3,-0.38
301,302,165.55,-2770,-389.3,0.94
302,303,166.1,-2790,-399.6,-0.76
303,304,166.65,-2810,-402.3,-1.21
304,305,167.2,-2830,-396.7,-0.28
305,306,167.75,-2851,-397.2,-0.37
306,307,168.3,-2871,-402.0,-1.16
307,308,168.85,-2892,-396.9,-0.32
308,309,169.4,-2912,-390.9,0.67
309,310,169.95,-2932,-393.4,0.25
310,311,170.5,-2951,-395.9,-0.16
311,312,171.05,-2970,-395.1,-0.03
312,313,171.6,-2989,-392.7,0.37
313,314,172.15,-3008,-389.0,0.98
314,315,172.7,-3027,-397.9,-0.5
315,316,173.25,-3047,-398.9,-0.66
316,317,173.8,-3067,-396.8,-0.32
317,318,174.35,-3087,-396.6,-0.29
318,319,174.9,-3106,-392.7,0.36
319,320,175.45,-3127,-400.6,-0.95
320,321,176.0,-3147,-396.3,-0.24
321,322,176.55,-3167,-395.6,-0.13
322,323,177.1,-3186,-393.3,0.25
323,324,177.65,-3206,-391.4,0.56
324,325,178.2,-3224,-391.3,0.58
325,326,178.75,-3243,-393.2,0.26
326,327,179.3,-3262,-397.6,-0.47
327,328,179.85,-3282,-395.8,-0.17
328,329,180.4,-3303,-403.1,-1.38
329,330,180.95,-3323,-396.3,-0.26
330,331,181.5,-3342,-390.6,0.69
331,332,182.05,-3362,-396.0,-0.21
332,333,182.6,-3381,-390.6,0.68
333,334,183.15,-3400,-396.3,-0.26
334,335,183.7,-3419,-394.5,0.03
335,336,184.25,-3439,-391.4,0.54
336,337,184.8,-3458,-407.6,-2.14
337,338,185.35,-3480,-401.2,-1.08
