year,co2,unc,sigma
2023,1921.88,0.62,
2022,1910.97,0.78,
2021,1895.11,0.55,
2020,1879.45,0.56,
2019,1866.84,0.6,
2018,1857.44,0.82,
2017,1849.52,0.64,
2016,1843.12,0.68,
2015,1834.28,0.55,
2014,1822.57,0.53,
2013,1813.42,0.66,
2012,1808.04,0.63,
2011,1803.14,0.63,
2010,1798.93,0.73,
2009,1793.53,0.69,
2008,1787.01,0.77,
2007,1781.37,0.63,
2006,1774.96,0.56,
2005,1774.16,0.64,
2004,1777.05,0.5,
2003,1777.33,0.5,
2002,1772.67,0.55,
2001,1771.16,0.59,
2000,1773.33,0.81,
1999,1772.35,0.64,
1998,1765.54,0.64,
1997,1754.52,0.42,
1996,1751.28,0.68,
1995,1748.88,0.48,
1994,1742.05,0.58,
1993,1736.49,0.46,
1992,1735.46,0.57,
1991,1724.84,0.72,
1990,1714.43,0.68,
1989,1704.53,0.55,
1988,1693.13,0.67,
1987,1682.71,0.49,
1986,1670.09,0.74,
1985,1657.29,0.59,
1984,1644.68,0.67,
2023,421.08,0.12,
2022,418.53,0.12,
2021,416.41,0.12,
2020,414.21,0.12,
2019,411.66,0.12,
2018,408.72,0.12,
2017,406.77,0.12,
2016,404.41,0.12,
2015,401.02,0.12,
2014,398.82,0.12,
2013,396.74,0.12,
2012,394.06,0.12,
2011,391.85,0.12,
2010,390.1,0.12,
2009,387.64,0.12,
2008,385.83,0.12,
2007,384.02,0.12,
2006,382.09,0.12,
2005,379.98,0.12,
2004,377.7,0.12,
2003,375.98,0.12,
2002,373.45,0.12,
2001,371.32,0.12,
2000,369.71,0.12,
1999,368.54,0.12,
1998,366.84,0.12,
1997,363.88,0.12,
1996,362.74,0.12,
1995,360.97,0.12,
1994,358.96,0.12,
1993,357.21,0.12,
1992,356.54,0.12,
1991,355.7,0.12,
1990,354.45,0.12,
1989,353.2,0.12,
1988,351.69,0.12,
1987,349.31,0.12,
1986,347.61,0.12,
1985,346.35,0.12,
1984,344.87,0.12,
1983,343.15,0.12,
1982,341.48,0.12,
1981,340.12,0.12,
1980,338.76,0.12,
1979,336.84,0.12,
1978,335.41,0.12,
1977,333.84,0.12,
1976,332.03,0.12,
1975,331.13,0.12,
1974,330.19,0.12,
1973,329.68,0.12,
1972,327.46,0.12,
1971,326.32,0.12,
1970,325.68,0.12,
1969,324.62,0.12,
1968,323.05,0.12,
1967,322.18,0.12,
1966,321.37,0.12,
1965,320.04,0.12,
1964,319.62,0.12,
1963,318.99,0.12,
1962,318.45,0.12,
1961,317.64,0.12,
1960,316.91,0.12,
1959,315.98,0.12,
1960,318.20658038167187,,1.72306399989313
1960,313.0933880516286,,1.8125207605745384
1959,311.98389241638387,,1.8125192068450535
1958,316.1014028920352,,1.7230606961916066
1958,316.3340200101121,,0.9414004868608352
1957,314.57216625352925,,0.4109025756600084
1957,315.2703546298443,,1.1616551462109328
1957,316.3253801823537,,0.1269429754774378
1957,314.4370577968855,,0.7862770621623857
1956,315.342073915026,,0.6354715422654317
1954,314.7139613439055,,2.214638063555554
1953,313.1710570119369,,0.634039485403577
1953,312.8003637775662,,0.6340379489030816
1953,312.22274083278216,,1.4243345489180328
1952,312.1844627182946,,0.4108872849421976
1950,313.6602846482332,,2.21463680836238
1950,312.0017776102837,,0.6354211479753883
1949,309.6939936066409,,0.4108714596531573
1948,311.57094999761165,,2.2146343319343007
1947,310.36290017732523,,0.634027909426397
1947,312.8663621464335,,2.214635865625694
1946,312.5596867804179,,2.2146355017928885
1946,311.9671347125998,,2.082558942026396
1946,311.8114965345337,,3.1236747780021643
1945,310.440204448011,,2.564594558034493
1945,311.2775834649954,,0.4108815077188695
1945,310.224309572614,,0.6340273214805324
1944,312.36164019507424,,2.214635267170318
1943,312.8437329659678,,2.5645970119051587
1943,311.878053578341,,2.768216484789498
1942,312.393938618938,,2.214635305646748
1941,311.80226771747726,,2.214634605293885
1941,307.7386635857962,,1.161638187528912
1940,309.80091502114107,,0.6353882419620955
1940,310.9510867188181,,0.6340303293204513
1940,311.21179432912515,,0.6340313851523534
1939,310.4566675193962,,2.1689332920301743
1939,308.47982780846024,,0.6353686009026864
1939,311.94102882822733,,1.3421143195864766
1938,311.52050972739016,,2.21463427376126
1938,312.3293254879136,,0.1345655909634221
1937,307.4076931745866,,1.1616374521489643
1936,307.25859856593024,,1.16163712048601
1936,306.3197983876916,,1.1616350386215593
1936,309.3446868650601,,2.8704087232296542
1934,309.6306260790445,,0.6340249031228801
1934,307.0755443187391,,2.5645910826371363
1933,305.94402817135216,,1.1616342071053372
1933,308.27919921307927,,2.214630463891003
1933,308.25556223436706,,0.6340192586104747
1931,305.7409186942765,,1.4519014261034418
1930,305.3808267142061,,0.0689463373624849
1929,305.78294147245686,,0.6353287640642507
1929,305.7053721667773,,0.9413710014212492
1929,305.66786848134046,,0.635327071998837
1928,308.01874186181465,,3.176223027041842
1926,304.96915678718324,,0.634005914314666
1925,304.7159146968185,,1.7230435237616446
1923,303.1815383191544,,0.941364147841331
1923,306.1986242999216,,3.817322318081138
1920,301.8758603769565,,1.1616252702369918
1919,304.61320734820134,,2.2146262044343445
1918,303.85222132002366,,0.6718501558877479
1916,301.9151507114715,,0.6339936400662507
1915,300.7000886560916,,2.449191474096512
1913,301.29772622272134,,0.6339911737445958
1912,299.25727749401767,,1.723035440531635
1912,297.7268153632511,,1.7230332142980245
1911,298.10624698316605,,2.564582196159249
1910,297.86910679162327,,1.1616165851507216
1909,301.5041354046444,,2.2146226319797626
1906,299.62686294971274,,0.6352391314877226
1906,297.32821856127947,,0.6339754377689106
1906,299.0235966178361,,0.6339821331252458
1904,295.9913578166476,,0.9413449338297226
1902,295.6106368299745,,1.3300603706657033
1901,294.2207216000332,,1.1616087777538209
1899,297.0473645165553,,2.214617574875448
1899,295.2814574829282,,0.6339674053652581
1894,293.80883068272027,,0.9413391927125404
1894,293.16654166689625,,1.7230266485152168
1894,295.3164626735822,,0.6351774496644673
1893,294.8594308441452,,1.7230290740754022
1893,295.17192926023625,,0.6339669770888089
1890,290.9175394046256,,1.161601792024331
1890,292.3423879392772,,0.6760499604329714
1888,294.34178746728605,,0.6339637362309404
1886,288.1157636999787,,2.012887925404246
1885,289.2265988139854,,0.6166072841793726
1884,289.7624132149648,,0.9413286609713852
1883,292.46393479402104,,0.9504624960170108
1880,287.7707291897673,,1.1615952103179417
1877,289.3281310647417,,0.633944356692999
1874,291.5581974658393,,2.21461144979234
1873,286.6550967370638,,1.3420669316299338
1871,286.32578146070443,,1.161592212107517
1870,287.9864944292303,,0.6339392271650133
1869,289.53614491302415,,1.7230214941989352
1868,287.9922513016967,,0.4127688331453147
1867,285.05229227816864,,1.6774740623622912
1865,286.654158160582,,1.1615928921518883
1863,285.3533187571561,,0.9413173514221532
1862,287.17456217295097,,0.6339361344349255
1859,286.6330756116753,,0.4107309168077066
1857,283.16210074754474,,1.1615857002636665
1855,285.56557722684016,,0.633930031404953
1854,288.05443747992655,,2.2146075998489194
1852,285.4658308627274,,0.6339296541845358
1851,288.7903954001126,,0.4127858726824119
1851,284.00163402345765,,1.161587421236867
1848,286.839237474432,,0.6350587311227852
1846,283.6198856894272,,1.3420615190225318
1845,283.1828720355646,,1.1615857427816372
1845,283.5311237194569,,1.1615864561027442
1844,281.58148260537183,,1.1615824752609392
1841,283.6545457229947,,0.6339228271586755
1837,284.151983964357,,0.9417990894248008
1834,283.82039231033946,,0.941796034128002
1833,285.0861666968484,,0.9504437017476038
1827,285.90893992625405,,0.6350459120608486
1825,281.3603652847592,,0.9417734784570432
1814,284.43128758236145,,0.9418016656981504
1800,282.7995518984052,,0.7883985371923559
1797,280.4044366600032,,1.722661879618002
1796,282.3047106620081,,0.6349966382720811
1795,281.6171179507893,,0.941775823437092
1781,273.07371696468044,,0.4124588939999544
1780,280.2362981843688,,0.6349686413914025
1774,277.8559524780317,,0.9417416851187796
1764,276.3961020284933,,0.941728558070766
1763,277.15568662096365,,0.6349273233549182
1753,278.00200109884094,,0.6349386291317073
1752,276.4573287163011,,0.9417291072385716
1750,277.6000738939942,,0.6349332555790217
1742,276.8090000432731,,0.9417322638755544
1734,278.3109424912346,,0.9417457905087732
1724,277.01330979867544,,0.9417340996183786
1723,278.27011023020174,,1.2670864271606788
1695,277.35805088594464,,0.6349300235886305
1690,276.3246167739362,,0.9417279170430886
1682,276.6596678045921,,0.6349207130491378
1650,278.0152295252318,,0.6349388061201005
1640,276.6872122505445,,0.9417311702431328
1629,273.7807623120456,,0.4124732162414122
1610,271.1090304670288,,0.4124192882382645
1604,275.066577843599,,0.6348995620033699
1591,279.3568610690018,,0.9508690595460032
1589,281.10892823134105,,0.9417711840929804
1574,282.5698274885973,,0.6350002415419935
1560,281.82904146165555,,0.9417777605892772
1550,283.5296825674026,,1.2671220558482
1530,283.94789036843633,,0.6350190252954523
1502,283.1247803916497,,0.6350077949310544
1470,280.3125047226672,,1.267100183364781
1450,282.22658040584827,,0.9508949540293504
1429,279.7256958832981,,0.4125950843173071
1411,279.6965499485699,,0.9417583341557852
1391,280.9115788303861,,0.6349777602732789
1349,278.3621212274177,,0.4125669035764293
1331,284.0676432722511,,0.6350206618825793
1308,281.5784089788515,,0.9417754697627618
1279,278.4312489162189,,0.4125683289579309
1260,282.199286054067,,0.941781148411328
1252,282.41311047504325,,0.6349981111551107
1211,283.68828915610504,,0.9417948179160088
1200,284.54004420226613,,0.635027124576181
1166,283.9659747066713,,1.4116055223569104
1147,284.510584449478,,1.267128774238816
1116,282.8416314024614,,0.941787036540014
1100,283.0944582572788,,0.6350073818401468
1071,282.8444160166049,,0.9417870620945464
1050,280.9667443357615,,0.6349785049296485
1041,280.9161701585891,,0.9417694265601158
1020,280.06452973881244,,0.634966325632589
1018,279.7987034131486,,1.3420371933367057
983,278.7402401551619,,1.4115736949859394
958,277.4071684030988,,0.4125472485974409
915,280.10552589040225,,2.213895624951041
876,279.42044060983585,,1.4115778043264595
823,278.62300321449914,,1.4115729877252574
794,279.72469920818,,2.2138941536319328
763,279.29371083930937,,2.2138924909272037
731,279.9902637416671,,0.4126005678192107
702,277.098940914164,,0.4125409188336744
670,278.45496800258206,,0.4125688181151233
637,279.58805021854124,,0.4125922334589306
615,277.86971612986054,,0.4125567605046653
583,276.19603745957005,,0.4125224167384222
558,278.4608975547629,,3.845059022998696
552,276.5590465243607,,0.4125298482800052
518,276.789519068584,,0.9417320889076648
489,277.1056915049757,,0.4125410573895645
437,279.9999146746923,,0.4126007679435665
407,279.12520908544417,,0.4125826574381653
385,277.24691789826335,,0.4125439568248663
358,277.79537780888165,,0.412555230745294
318,281.692138914424,,0.4126359634969955
296,280.9089598541969,,0.4126196486383923
275,280.2444922059889,,2.563635366217848
267,278.31439989271746,,0.616453810085954
241,280.2490871903012,,0.6164805927337029
175,277.55589209790946,,0.412550305271284
154,278.0719954240161,,0.4125609251205449
136,278.1,,1.0
104,277.5,,1.0
56,277.4,,1.0
30,277.9,,1.0
1,276.7,,1.0
-49,278.0,,1.2
-143,276.9,,0.7
-284,276.7,,0.8
-315,276.7,,0.8
-464,277.6,,1.3
-576,277.9,,0.5
-678,273.9,,1.1
-758,278.9,,0.6
-851,275.3,,1.6
-954,274.7,,1.2
-998,276.3,,0.9
-1106,274.6,,0.8
-1305,276.3,,1.5
-1333,273.1,,1.1
-1481,274.0,,0.3
-1578,275.0,,0.6
-1694,273.4,,1.3
-1743,273.0,,0.8
-1856,271.5,,1.0
-1906,275.4,,0.5
-2018,274.9,,1.3
-2158,271.7,,1.0
-2255,271.6,,0.7
-2325,272.8,,0.8
-2392,271.5,,0.9
-2544,271.1,,0.8
