year,ch4,unc
2023,1922.53,0.62
2022,1911.81,0.78
2021,1895.28,0.55
2020,1878.93,0.56
2019,1866.58,0.6
2018,1857.33,0.82
2017,1849.67,0.64
2016,1843.12,0.68
2015,1834.27,0.55
2014,1822.57,0.53
2013,1813.41,0.66
2012,1808.03,0.63
2011,1803.14,0.63
2010,1798.93,0.73
2009,1793.53,0.69
2008,1787.01,0.77
2007,1781.37,0.63
2006,1774.96,0.56
2005,1774.15,0.64
2004,1777.04,0.5
2003,1777.33,0.5
2002,1772.66,0.55
2001,1771.2,0.59
2000,1773.33,0.81
1999,1772.35,0.64
1998,1765.55,0.64
1997,1754.53,0.42
1996,1751.29,0.68
1995,1748.82,0.48
1994,1742.07,0.58
1993,1736.49,0.46
1992,1735.46,0.57
1991,1724.84,0.72
1990,1714.42,0.68
1989,1704.53,0.55
1988,1693.11,0.67
1987,1682.7,0.49
1986,1670.09,0.74
1985,1657.29,0.59
1984,1644.68,0.67
